,Assembly,pident,qcovs,Qval
80,NZ_CP010526.1,0.0,0.0,0.0
81,NZ_CP010890.1,0.0,0.0,0.0
82,NZ_CP010998.1,0.0,0.0,0.0
83,NZ_CP011147.1,0.0,0.0,0.0
84,NZ_CP011526.1,0.0,0.0,0.0
85,NZ_CP011528.1,0.0,0.02,0.02
86,NZ_CP011685.1,0.0,0.0,0.0
87,NZ_CP012011.1,0.0,0.0,0.0
88,NZ_CP012012.1,0.0,0.0,0.0
89,NZ_CP012013.1,0.0,0.0,0.0
90,NZ_CP012015.1,0.0,0.0,0.0
91,NZ_CP012018.1,0.0,0.02,0.02
92,NZ_CP012119.2,0.0,0.0,0.0
93,NZ_CP012120.2,0.0,0.0,0.0
94,NZ_CP012409.1,0.0,0.041,0.041
95,NZ_CP012593.1,0.0,0.0,0.0
96,NZ_CP012692.1,0.0,0.0,0.0
97,NZ_CP012756.1,0.0,0.02,0.02
98,NZ_CP012970.1,0.0,0.0,0.0
99,NZ_CP012972.1,0.0,0.0,0.0
100,NZ_CP012974.1,0.0,0.0,0.0
101,NZ_CP012976.1,0.0,0.0,0.0
102,NZ_CP012978.1,0.0,0.0,0.0
103,NZ_CP012979.1,0.0,0.0,0.0
104,NZ_CP013132.1,0.0,0.0,0.0
105,NZ_CP013137.1,0.0,0.0,0.0
106,NZ_CP013182.1,0.0,0.02,0.02
107,NZ_CP013218.1,0.0,0.0,0.0
108,NZ_CP013231.1,0.0,0.0,0.0
109,NZ_CP013616.1,0.0,0.0,0.0
110,NZ_CP013619.1,0.0,0.0,0.0
111,NZ_CP013621.1,0.0,0.0,0.0
112,NZ_CP013953.1,0.0,0.0,0.0
113,NZ_CP013955.1,0.0,0.0,0.0
114,NZ_CP013957.1,0.0,0.0,0.0
115,NZ_CP014064.2,0.0,0.0,0.0
116,NZ_CP014392.1,0.0,0.0,0.0
117,NZ_CP014397.1,0.0,0.0,0.0
118,NZ_CP014402.1,0.0,0.0,0.0
119,NZ_CP014407.1,0.0,0.0,0.0
120,NZ_CP014409.1,0.0,0.0,0.0
121,NZ_CP014412.1,0.0,0.0,0.0
122,NZ_CP014415.1,0.0,0.0,0.0
123,NZ_CP014420.1,0.0,0.0,0.0
124,NZ_CP014423.1,0.0,0.0,0.0
125,NZ_CP014426.1,0.0,0.0,0.0
126,NZ_CP014429.1,0.0,0.0,0.0
127,NZ_CP014432.1,0.0,0.0,0.0
128,NZ_CP014435.1,0.0,0.0,0.0
129,NZ_CP014438.1,0.0,0.0,0.0
130,NZ_CP014441.1,0.0,0.0,0.0
131,NZ_CP014444.1,0.0,0.0,0.0
132,NZ_CP014791.1,0.0,0.0,0.0
133,NZ_CP015173.1,0.0,0.0,0.0
134,NZ_CP015447.1,0.0,0.0,0.0
135,NZ_CP015645.1,0.0,0.0,0.0
136,NZ_CP015646.1,0.0,0.0,0.0
137,NZ_CP015817.1,0.0,0.02,0.02
138,NZ_CP016398.1,0.0,0.0,0.0
139,NZ_CP016856.1,0.0,0.0,0.0
140,NZ_CP016858.1,0.0,0.0,0.0
141,NZ_CP016861.1,0.0,0.0,0.0
142,NZ_CP016863.1,0.0,0.0,0.0
143,NZ_CP017090.1,0.0,0.0,0.0
144,NZ_CP017091.1,0.0,0.0,0.0
145,NZ_CP017094.1,0.0,0.0,0.0
146,NZ_CP017115.1,0.0,0.041,0.041
147,NZ_CP017677.1,0.0,0.0,0.0
148,NZ_CP017679.1,0.0,0.0,0.0
149,NZ_CP017680.1,0.0,0.0,0.0
150,NZ_CP017682.1,0.0,0.0,0.0
151,NZ_CP017684.1,0.0,0.0,0.0
152,NZ_CP017685.1,0.0,0.0,0.0
153,NZ_CP018205.1,0.0,0.0,0.0
154,NZ_CP018629.1,0.0,0.0,0.0
155,NZ_CP018766.1,0.0,0.0,0.0
156,NZ_CP018768.1,0.0,0.0,0.0
157,NZ_CP019117.1,0.0,0.0,0.0
158,NZ_CP019563.1,0.0,0.0,0.0
159,NZ_CP019574.1,0.0,0.02,0.02
160,NZ_CP019590.1,0.0,0.0,0.0
161,NZ_CP019591.1,0.0,0.0,0.0
162,NZ_CP019592.1,0.0,0.0,0.0
163,NZ_CP019593.1,0.0,0.0,0.0
164,NZ_CP019594.1,0.0,0.0,0.0
165,NZ_CP019595.1,0.0,0.0,0.0
166,NZ_CP019945.1,0.0,0.02,0.02
167,NZ_CP020019.1,0.0,0.0,0.0
168,NZ_CP020020.1,0.0,0.0,0.0
169,NZ_CP020354.1,0.0,0.0,0.0
170,NZ_CP020467.1,0.0,0.0,0.0
171,NZ_CP020544.1,0.0,0.0,0.0
172,NZ_CP020553.1,0.0,0.0,0.0
173,NZ_CP020619.1,0.0,0.0,0.0
174,NZ_CP020656.1,0.0,0.0,0.0
175,NZ_CP020713.1,0.0,0.0,0.0
176,NZ_CP020714.1,0.0,0.0,0.0
177,NZ_CP020741.1,0.0,0.0,0.0
178,NZ_CP021105.1,0.0,0.0,0.0
179,NZ_CP021905.1,0.0,0.0,0.0
180,NZ_CP021907.1,0.0,0.0,0.0
181,NZ_CP022290.1,0.0,0.0,0.0
182,NZ_CP022291.1,0.0,0.0,0.0
183,NZ_CP023390.1,0.0,0.0,0.0
184,NZ_CP023391.1,0.0,0.0,0.0
185,NZ_CP023500.1,0.0,0.0,0.0
186,NZ_CP023560.1,0.0,0.0,0.0
187,NZ_CP024998.1,0.02,0.0,0.02
188,NZ_CP025395.1,0.0,0.0,0.0
189,NZ_CP025495.1,0.0,0.0,0.0
190,NZ_CP026063.1,0.0,0.0,0.0
191,NZ_CP026064.1,0.0,0.02,0.02
192,NZ_CP026066.1,0.0,0.0,0.0
193,NZ_CP026067.1,0.0,0.0,0.0
194,NZ_CP026068.1,0.0,0.0,0.0
195,NZ_CP026069.1,0.0,0.0,0.0
196,NZ_CP026070.1,0.0,0.0,0.0
197,NZ_CP026071.1,0.0,0.0,0.0
198,NZ_CP026072.1,0.0,0.0,0.0
199,NZ_CP026073.1,0.0,0.0,0.0
200,NZ_CP026074.1,0.0,0.0,0.0
201,NZ_CP026076.1,0.0,0.0,0.0
202,NZ_CP026077.1,0.0,0.0,0.0
203,NZ_CP026079.1,0.0,0.0,0.0
204,NZ_CP026080.1,0.0,0.0,0.0
205,NZ_CP026953.1,0.0,0.0,0.0
206,NZ_CP026957.1,0.0,0.0,0.0
207,NZ_CP026958.1,0.0,0.0,0.0
208,NZ_CP026960.1,0.0,0.0,0.0
209,NZ_CP026961.1,0.0,0.0,0.0
210,NZ_CP026962.1,0.0,0.0,0.0
211,NZ_CP026964.1,0.0,0.0,0.0
212,NZ_CP026968.1,0.0,0.0,0.0
213,NZ_CP027101.1,0.0,0.0,0.0
214,NZ_CP027476.1,0.0,0.0,0.0
215,NZ_CP028163.1,0.0,0.0,0.0
216,NZ_CP028165.1,0.0,0.0,0.0
217,NZ_CP028189.1,0.0,0.0,0.0
218,NZ_CP028190.1,0.0,0.0,0.0
219,NZ_CP029030.1,0.0,0.0,0.0
220,NZ_CP029031.1,0.0,0.0,0.0
221,NZ_CP029032.1,0.0,0.0,0.0
222,NZ_CP029080.1,0.0,0.0,0.0
223,NZ_CP029082.1,0.0,0.0,0.0
224,NZ_CP029084.1,0.0,0.0,0.0
225,NZ_CP029086.1,0.0,0.0,0.0
226,NZ_CP029087.1,0.0,0.0,0.0
227,NZ_LN626917.1,0.0,0.0,0.0
228,NZ_LN831036.1,0.0,0.0,0.0
229,NZ_LN854556.1,0.02,0.0,0.02
230,NZ_LT009690.1,0.0,0.0,0.0
231,NZ_LT598688.1,0.0,0.0,0.0
232,NZ_LT615218.1,0.0,0.0,0.0
233,NZ_LT671859.1,0.0,0.0,0.0
