Assembly, pident, qcovs,Qval,Strain,Size (Mb),WGS,Scaffolds,Genes,Proteins
GCA_001298325.2,0,1,1,BA01611,2.88586,-,1,3041,2850
GCA_001307235.1,0,1,1,JS395,2.88961,-,2,2974,2758
GCA_001515705.1,0,1,1,Gv88,2.99092,-,2,3169,2972
GCA_001880265.1,0,1,1,SA40TW,2.77185,-,1,2856,2618
GCA_002089095.1,0,1,1,GD1677,2.81324,-,1,2884,2689
GCA_002089115.1,1,0,1,GD1539,2.81905,-,1,2957,2762
GCA_002140115.1,0,1,1,FORC_039,2.83344,-,2,2941,2762
GCA_002795285.1,0,1,1,USA400-0051,2.83253,-,2,2949,2701
GCA_002803885.1,1,0,1,55-99-44,2.78461,-,2,2836,2646
GCA_900004855.1,1,0,1,BB155,2.77808,-,1,2856,2677
GCA_900155335.1,0,1,1,NZ15MR0322,2.86639,-,2,-,-
GCA_000009005.1,0,0,0,RF122,2.74253,-,1,2866,2591
GCA_000009585.1,0,0,0,type strain:ST398,2.88537,-,4,2987,2783
GCA_000009645.1,0,0,0,N315,2.83947,-,2,2939,2776
GCA_000009665.1,0,0,0,Mu50,2.90364,-,2,3038,2868
GCA_000010445.1,0,0,0,Mu3,2.88017,-,1,3007,2842
GCA_000011265.1,0,0,0,MW2,2.82046,-,1,2934,2778
GCA_000011505.1,0,0,0,MRSA252,2.90262,-,1,3016,2819
GCA_000011525.1,0,0,0,MSSA476,2.82045,-,2,2935,2770
GCA_000012045.1,0,0,0,COL,2.81386,-,2,2927,2779
GCA_000013425.1,0,0,0,NCTC 8325,2.82136,-,1,2872,2767
GCA_000013465.1,0,0,0,USA300_FPR3757,2.91747,-,4,3063,2917
GCA_000016805.1,0,0,0,JH9,2.93713,-,2,3095,2931
GCA_000017085.1,0,0,0,TCH1516,2.90308,-,3,3061,2900
GCA_000017125.1,0,0,0,JH1,2.93694,-,2,3096,2934
GCA_000024585.1,0,0,0,ED98,2.84754,-,4,2968,2794
GCA_000025145.1,0,0,0,NA,NA,NA,NA,NA,NA
GCA_000027045.1,0,0,0,TW20,3.07581,-,3,3254,3075
GCA_000144955.1,0,0,0,JKD6159,2.83216,-,2,2926,2728
GCA_000145595.1,0,0,0,JKD6008,2.92434,-,1,3114,2903
GCA_000160195.1,0,0,0,MN8,2.89959,ACJA02,1,3048,2839
GCA_000189455.2,0,0,0,NA,NA,NA,NA,NA,NA
GCA_000204665.1,0,0,0,T0131,2.9139,-,1,3056,2878
GCA_000210315.1,0,0,0,ED133,2.83248,-,1,2962,2770
GCA_000237265.1,0,0,0,LGA251,2.75383,-,2,2818,2632
GCA_000258685.1,0,0,0,71193,2.715,-,1,2767,2598
GCA_000296595.1,0,0,0,08BA02176,2.78231,-,1,2858,2671
GCA_000367745.1,0,0,0,M1,2.89156,-,2,3043,2898
GCA_000418345.1,0,0,0,Bmb9393,2.98346,-,2,3163,2977
GCA_000463055.1,0,0,0,CN1,2.75707,-,3,2838,2674
GCA_000470845.1,0,0,0,SA957,2.78954,-,1,2884,2696
GCA_000470865.1,0,0,0,SA40,2.72831,-,1,2794,2606
GCA_000485885.1,0,0,0,Z172,3.0183,-,3,3203,3014
GCA_000568455.1,0,0,0,USA300-ISMMS1,2.9512,-,3,3122,2954
GCA_000597965.1,0,0,0,502A,2.78769,-,2,2910,2749
GCA_000626615.2,0,0,0,NA,NA,NA,NA,NA,NA
GCA_000695215.1,0,0,0,H-EMRSA-15,2.84632,-,1,2951,2775
GCA_000695875.1,0,0,0,UA-S391_USA300,2.87292,-,1,3022,2867
GCA_000737615.1,0,0,0,SA268,2.8339,-,1,2950,2753
GCA_000746505.1,0,0,0,2395 USA500,2.98805,-,2,3187,3009
GCA_000756205.1,0,0,0,ATCC 25923,2.80634,-,2,2894,2714
GCA_000769575.1,0,0,0,Gv69,3.04621,-,1,3264,3016
GCA_000772025.1,0,0,0,FORC_001,2.88602,-,1,3001,2795
GCA_000815045.1,0,0,0,29b_MRSA,2.87277,-,1,3016,2873
GCA_000815125.1,0,0,0,33b,2.87276,-,1,3016,2873
GCA_000815165.1,0,0,0,26b_MRSA,2.87278,-,1,3016,2872
GCA_000815205.1,0,0,0,25b_MRSA,2.87278,-,1,3016,2874
GCA_000815245.1,0,0,0,27b_MRSA,2.87277,-,1,3016,2873
GCA_000828035.1,0,0,0,DAR4145,2.86051,-,1,2971,2806
GCA_000953255.1,0,0,0,ILRI_Eymole1/1,2.8743,-,1,3011,2799
GCA_000969225.1,0,0,0,FCFHV36,2.84981,-,1,2974,2820
GCA_001018645.2,0,0,0,FDAARGOS_2,2.80999,-,4,2914,2753
GCA_001018685.2,0,0,0,TCH 959,2.81177,-,1,2948,2797
GCA_001018725.2,0,0,0,FDAARGOS_10,2.87387,-,1,3055,2912
GCA_001018775.2,0,0,0,NRS149,2.76471,-,1,2868,2716
GCA_001018805.1,0,0,0,NA,NA,NA,NA,NA,NA
GCA_001018915.2,0,0,0,NRS133,2.74036,-,1,2854,2711
GCA_001018975.2,0,0,0,NRS143,2.86165,-,1,2955,2764
GCA_001019125.2,0,0,0,FDAARGOS_43,2.82063,-,1,2923,2768
GCA_001019205.2,0,0,0,FDAARGOS_48,2.84735,-,4,2986,2822
GCA_001019255.2,0,0,0,FDAARGOS_1,2.85547,-,5,2991,2822
GCA_001019275.2,0,0,0,NRS107,2.72908,-,2,2814,2667
GCA_001019305.2,0,0,0,NRS70,2.8147,-,1,2906,2738
GCA_001019395.2,0,0,0,NRS484,2.81831,-,1,2875,2694
GCA_001019415.2,0,0,0,NRS146,2.69747,-,1,2780,2640
GCA_001019435.2,0,0,0,NRS1,2.8785,-,1,3009,2839
GCA_001019485.2,0,0,0,NRS120,2.95589,-,1,3149,2974
GCA_001019495.2,0,0,0,FDAARGOS_40,2.88933,-,2,3025,2850
GCA_001019535.2,0,0,0,Mw2,2.81933,-,1,2922,2769
GCA_001019575.2,0,0,0,HPV107,2.90141,-,2,3058,2879
GCA_001021875.1,0,0,0,M121,2.91655,-,2,3092,2927
GCA_001021895.1,0,0,0,CA15,2.86428,-,2,3010,2847
GCA_001027105.1,0,0,0,DSM 20231,2.78256,-,2,2896,2755
GCA_001045795.2,0,0,0,CA12,2.86537,-,2,3011,2849
GCA_001046095.2,0,0,0,V2200,2.87437,-,2,3021,2849
GCA_001183705.3,0,0,0,USA300_2014.C01,2.9483,-,3,3125,2961
GCA_001183725.2,0,0,0,USA300_2014.C02,2.92915,-,3,3071,2910
GCA_001278745.1,0,0,0,HOU1444-VR,2.89373,-,4,3039,2854
GCA_001281145.1,0,0,0,SA564,2.81081,-,2,2918,2761
GCA_001444345.1,0,0,0,XQ,2.80359,-,1,2932,2671
GCA_001457495.1,0,0,0,NCTC13435,2.80917,-,3,2907,2739
GCA_001465635.1,0,0,0,RIVM1295,2.78249,-,3,2858,2673
GCA_001465675.1,0,0,0,RIVM1607,2.77101,-,2,2833,2658
GCA_001465755.1,0,0,0,RIVM3897,2.89454,-,1,3006,2815
GCA_001471715.2,0,0,0,FDAARGOS_140,2.9133,-,4,3075,2911
GCA_001515665.1,0,0,0,Gv51,2.99003,-,2,3169,2949
GCA_001515745.1,0,0,0,HC1340,3.04655,-,1,3246,3054
GCA_001515765.1,0,0,0,HC1335,2.97637,-,1,3154,2942
GCA_001548295.1,0,0,0,FDA209P,2.80322,-,2,2912,2732
GCA_001548415.1,0,0,0,MI,2.91635,-,2,3063,2895
GCA_001549655.1,0,0,0,TMUS2126,2.77016,-,1,2871,2692
GCA_001549675.1,0,0,0,TMUS2134,2.77016,-,1,2871,2692
GCA_001558795.2,0,0,0,FDAARGOS_159,2.83918,-,2,2955,2790
GCA_001580495.1,0,0,0,FORC_012,2.81542,-,1,2912,2751
GCA_001580515.1,0,0,0,UTSW MRSA 55,3.03979,-,5,3228,2976
GCA_001594205.1,0,0,0,MCRF184,2.66466,-,1,2717,2558
GCA_001611325.1,0,0,0,ST20130940,2.70036,-,2,2774,2606
GCA_001611345.1,0,0,0,ST20130941,2.67888,-,1,2746,2579
GCA_001611365.1,0,0,0,ST20130942,2.76713,-,2,2869,2704
GCA_001611385.1,0,0,0,ST20130943,2.7672,-,2,2869,2703
GCA_001611405.1,0,0,0,ST20130938,2.74688,-,2,2847,2682
GCA_001611425.1,0,0,0,ST20130939,2.74683,-,2,2844,2677
GCA_001618305.1,0,0,0,RIVM6519,2.79346,-,3,2888,2752
GCA_001640885.1,0,0,0,ZJ5499,2.84809,-,1,2970,2802
GCA_001640905.1,0,0,0,NCCP14558,2.97988,-,2,3133,2913
GCA_001640925.1,0,0,0,NCCP14562,2.9356,-,2,3057,2868
GCA_001641025.1,0,0,0,V521,3.11428,-,2,3312,3091
GCA_001656045.1,0,0,0,08-02119,2.79689,-,1,2913,2747
GCA_001656075.1,0,0,0,08-02300,2.74281,-,1,2827,2667
GCA_001717665.1,0,0,0,NA,NA,NA,NA,NA,NA
GCA_001717685.1,0,0,0,NA,NA,NA,NA,NA,NA
GCA_001717705.1,0,0,0,NA,NA,NA,NA,NA,NA
GCA_001717725.1,0,0,0,NA,NA,NA,NA,NA,NA
GCA_001717975.2,0,0,0,NA,NA,NA,NA,NA,NA
GCA_001725965.1,0,0,0,FORC_027,2.90338,-,1,3036,2872
GCA_001735655.2,0,0,0,3020.C01,2.92994,-,3,3073,2913
GCA_001879545.1,0,0,0,FORC_026,2.71926,-,1,2786,2623
GCA_001900185.1,0,0,0,HG001,2.81977,-,1,2992,2862
GCA_001956755.1,0,0,0,SJTUF_J27,2.80476,-,1,2898,2714
GCA_001956815.1,0,0,0,USA300_SUR1,2.93497,-,3,3117,2949
GCA_001975005.1,0,0,0,UCI62,2.92724,-,2,3062,2890
GCA_001975045.1,0,0,0,UCI 28,2.86258,-,2,2976,2804
GCA_001986135.1,0,0,0,SR434,2.83971,-,5,2971,2808
GCA_002000565.1,0,0,0,USA300-SUR9,2.95398,-,5,3132,2964
GCA_002000585.1,0,0,0,USA300-SUR10,2.95398,-,5,3132,2964
GCA_002000605.1,0,0,0,USA300-SUR11,2.95398,-,5,3132,2964
GCA_002000625.1,0,0,0,USA300-SUR12,2.90342,-,2,3061,2895
GCA_002000645.1,0,0,0,USA300-SUR13,2.94991,-,3,3128,2967
GCA_002000665.1,0,0,0,USA300-SUR14,2.95002,-,3,3131,2970
GCA_002000685.1,0,0,0,USA300-SUR15,2.98509,-,5,3172,3007
GCA_002000705.1,0,0,0,USA300-SUR16,2.95002,-,3,3131,2970
GCA_002000725.1,0,0,0,USA300-SUR17,2.95002,-,3,3132,2970
GCA_002000745.1,0,0,0,USA300-SUR18,2.95002,-,3,3131,2970
GCA_002000765.1,0,0,0,USA300-SUR19,2.95002,-,3,3131,2970
GCA_002000785.1,0,0,0,USA300-SUR20,2.94564,-,3,3124,2958
GCA_002000805.1,0,0,0,USA300-SUR21,2.94991,-,3,3127,2966
GCA_002000825.1,0,0,0,USA300-SUR22,2.94564,-,3,3124,2959
GCA_002000845.1,0,0,0,USA300-SUR23,2.94564,-,3,3124,2959
GCA_002000865.1,0,0,0,USA300-SUR24,2.98509,-,5,3172,3007
GCA_002025125.1,0,0,0,08S00974,2.8027,-,1,2879,2707
GCA_002025145.1,0,0,0,ATCC 6538,2.80061,-,2,2908,2732
GCA_002085525.1,0,0,0,JE2,2.8744,-,1,3020,2864
GCA_002088995.1,0,0,0,C2406,2.87885,-,1,3026,2870
GCA_002089035.1,0,0,0,293G,2.74553,-,1,2827,2645
GCA_002089075.1,0,0,0,GD705,2.83214,-,1,2940,2738
GCA_002097595.1,0,0,0,M92,3.05006,-,1,3228,3043
GCA_002202075.1,0,0,0,Seattle 1945,2.80635,-,2,2874,2698
GCA_002202095.1,0,0,0,Seattle 1945,2.8197,-,2,2888,2710
GCA_002204555.1,0,0,0,ISU935,2.86151,-,1,2944,2785
GCA_002204575.1,0,0,0,ISU926,2.83343,-,1,2921,2750
GCA_002214665.1,0,0,0,FORC_040,2.76496,-,2,2839,2678
GCA_002310395.1,0,0,0,Newman_D2C,2.8789,-,1,3056,2908
GCA_002310435.1,0,0,0,NYU_Newman,2.8789,-,1,3057,2910
GCA_002355355.1,0,0,0,OC8,2.89711,-,1,3035,2886
GCA_002356655.1,0,0,0,No.10,2.78509,-,2,2892,2725
GCA_002356675.1,0,0,0,JH4899,2.8415,-,2,2960,2795
GCA_002386245.1,0,0,0,FDAARGOS_412,2.76959,-,1,2870,2731
GCA_002407105.1,0,0,0,NMR08,3.1247,-,1,3370,3117
GCA_002442975.1,0,0,0,HZW450,2.83196,-,1,2899,2709
GCA_002633765.1,0,0,0,CFSAN007835,2.67692,-,1,2716,2550
GCA_002633785.1,0,0,0,CFSAN007847,2.85706,-,1,2953,2761
GCA_002633805.1,0,0,0,CFSAN007850,2.82538,-,2,2927,2751
GCA_002633825.1,0,0,0,CFSAN007851,2.76947,-,2,2856,2689
GCA_002633845.1,0,0,0,CFSAN007883,2.75896,-,1,2811,2640
GCA_002633865.1,0,0,0,CFSAN007894,2.75766,-,2,2838,2674
GCA_002786465.1,0,0,0,EDCC5458,2.84852,-,1,2982,2845
GCA_002786535.1,0,0,0,EDCC5464,2.76286,-,1,2818,2649
GCA_002850395.1,0,0,0,K17,2.72945,-,1,2859,2677
GCA_002850415.1,0,0,0,K18,2.7319,-,1,2862,2689
GCA_002895385.1,0,0,0,MRSA107,3.0957,-,1,3300,3113
GCA_002952015.1,0,0,0,K5,2.71864,-,1,2844,2683
GCA_002993865.1,0,0,0,NRS384,2.88033,-,3,3017,2867
GCA_003029665.1,0,0,0,NA,NA,NA,NA,NA,NA
GCA_900017775.1,0,0,0,NZAK3,2.85737,-,2,2974,2808
GCA_900092595.1,0,0,0,Sa_Newman_UoM,2.8789,-,1,3065,2922
GCA_900096745.1,0,0,0,AUS0325,2.77158,-,1,2893,2713
GCA_900129335.1,0,0,0,Clinical isolate,2.82187,-,2,2945,2790
