,Assembly,pident,qcovs,Qval,#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
23,GCA_000187145.1,0,10,10,Staphylococcus aureus subsp. aureus MRSA131,Bacteria;Terrabacteria group;Firmicutes,MRSA131,SAMN00189156,PRJNA47281,Scaffold,2.81757,32.6,,AECR01,39.0,2713.0,2011-01-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/187/145/GCA_000187145.1_ASM18714v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/145/GCF_000187145.1_ASM18714v1
24,GCA_000187165.1,2,11,13,Staphylococcus aureus subsp. aureus MRSA177,Bacteria;Terrabacteria group;Firmicutes,MRSA177,SAMN00189157,PRJNA47283,Scaffold,2.82604,32.6,,AECP01,47.0,2726.0,2011-01-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/187/165/GCA_000187165.1_ASM18716v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/165/GCF_000187165.1_ASM18716v1
25,GCA_000261165.1,24,16,40,Staphylococcus aureus subsp. aureus LCT-SA112,Bacteria;Terrabacteria group;Firmicutes,LCT-SA112,SAMN02469359,PRJNA104941,Scaffold,2.79313,32.9,,AJLP01,6.0,2592.0,2012-06-13T08:46:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/261/165/GCA_000261165.1_ASM26116v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/261/165/GCF_000261165.1_ASM26116v1
26,GCA_000294385.2,9,11,20,Staphylococcus aureus subsp. aureus CM05,Bacteria;Terrabacteria group;Firmicutes,CM05,SAMN02299517,PRJNA82073,Scaffold,2.83314,32.7,,AMAB01,105.0,2703.0,2012-08-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/294/385/GCA_000294385.2_ASM29438v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/385/GCF_000294385.2_ASM29438v2
27,GCA_000359765.1,0,10,10,Staphylococcus aureus HI010,Bacteria;Terrabacteria group;Firmicutes,HI010,SAMN00792137,PRJNA88547,Scaffold,2.90376,32.7,,AIVH01,4.0,2760.0,2013-04-12T10:09:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/765/GCA_000359765.1_Stap_aure_HI010_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/765/GCF_000359765.1_Stap_aure_HI010_V1
28,GCA_000359785.1,0,10,10,Staphylococcus aureus HI013,Bacteria;Terrabacteria group;Firmicutes,HI013,SAMN00792127,PRJNA88563,Scaffold,2.94633,32.7,,AIVP01,5.0,2827.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/785/GCA_000359785.1_Stap_aure_HI013_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/785/GCF_000359785.1_Stap_aure_HI013_V1
29,GCA_000359805.1,2,12,14,Staphylococcus aureus HI022,Bacteria;Terrabacteria group;Firmicutes,HI022,SAMN00792168,PRJNA88555,Scaffold,2.84561,32.8,,AIVL01,3.0,2704.0,2013-04-12T10:14:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/805/GCA_000359805.1_Stap_aure_HI022_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/805/GCF_000359805.1_Stap_aure_HI022_V1
30,GCA_000359825.1,0,10,10,Staphylococcus aureus HI049B,Bacteria;Terrabacteria group;Firmicutes,HI049B,SAMN00792148,PRJNA88549,Scaffold,2.91519,32.7,,AIVI01,3.0,2761.0,2013-04-12T10:14:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/825/GCA_000359825.1_Stap_aure_HI049B_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/825/GCF_000359825.1_Stap_aure_HI049B_V1
31,GCA_000359845.1,0,10,10,Staphylococcus aureus HI049C,Bacteria;Terrabacteria group;Firmicutes,HI049C,SAMN00792169,PRJNA88557,Scaffold,2.91533,32.7,,AIVM01,3.0,2765.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/845/GCA_000359845.1_Stap_aure_HI049C_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/845/GCF_000359845.1_Stap_aure_HI049C_V1
32,GCA_000359865.1,0,10,10,Staphylococcus aureus HI049,Bacteria;Terrabacteria group;Firmicutes,HI049,SAMN00792126,PRJNA88545,Scaffold,2.90084,32.7,,AIVG01,4.0,2757.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/865/GCA_000359865.1_Stap_aure_HI049_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/865/GCF_000359865.1_Stap_aure_HI049_V1
33,GCA_000359885.1,1,11,12,Staphylococcus aureus HI111,Bacteria;Terrabacteria group;Firmicutes,HI111,SAMN00792171,PRJNA88561,Scaffold,2.86286,32.8,,AIVO01,3.0,2709.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/885/GCA_000359885.1_Stap_aure_HI111_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/885/GCF_000359885.1_Stap_aure_HI111_V1
34,GCA_000359905.1,0,10,10,Staphylococcus aureus HI168,Bacteria;Terrabacteria group;Firmicutes,HI168,SAMN00792170,PRJNA88559,Scaffold,2.96814,32.7,,AIVN01,6.0,2846.0,2013-04-12T10:15:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/905/GCA_000359905.1_Stap_aure_HI168_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/905/GCF_000359905.1_Stap_aure_HI168_V1
35,GCA_000359925.1,7,13,20,Staphylococcus aureus HIF003_B2N-C,Bacteria;Terrabacteria group;Firmicutes,HIF003_B2N-C,SAMN00792167,PRJNA88553,Scaffold,2.75689,32.8,,AIVK01,2.0,2589.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/925/GCA_000359925.1_Stap_aure_HIF003_B2N-C_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/925/GCF_000359925.1_Stap_aure_HIF003_B2N-C_V1
36,GCA_000359945.1,11,14,25,Staphylococcus aureus M0001,Bacteria;Terrabacteria group;Firmicutes,M0001,SAMN00792128,PRJNA88565,Scaffold,2.88225,32.8,,AIVQ01,25.0,2764.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/945/GCA_000359945.1_Stap_aure_M0001_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/945/GCF_000359945.1_Stap_aure_M0001_V1
37,GCA_000359965.1,9,11,20,Staphylococcus aureus M0006,Bacteria;Terrabacteria group;Firmicutes,M0006,SAMN00809157,PRJNA88921,Scaffold,2.94185,33.0,,AJBY01,10.0,2803.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/965/GCA_000359965.1_Stap_aure_M0006_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/965/GCF_000359965.1_Stap_aure_M0006_V1
38,GCA_000359985.1,9,11,20,Staphylococcus aureus M0029,Bacteria;Terrabacteria group;Firmicutes,M0029,SAMN00792129,PRJNA88567,Scaffold,2.89189,32.9,,AIVR01,3.0,2749.0,2013-04-12T10:15:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/359/985/GCA_000359985.1_Stap_aure_M0029_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/985/GCF_000359985.1_Stap_aure_M0029_V1
39,GCA_000360005.1,10,11,21,Staphylococcus aureus M0035,Bacteria;Terrabacteria group;Firmicutes,M0035,SAMN00792130,PRJNA88569,Scaffold,2.89303,32.9,,AIVS01,4.0,2739.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/005/GCA_000360005.1_Stap_aure_M0035_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/005/GCF_000360005.1_Stap_aure_M0035_V1
40,GCA_000360025.1,9,12,21,Staphylococcus aureus M0045,Bacteria;Terrabacteria group;Firmicutes,M0045,SAMN00792131,PRJNA88571,Scaffold,2.95442,33.0,,AIVT01,7.0,2817.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/025/GCA_000360025.1_Stap_aure_M0045_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/025/GCF_000360025.1_Stap_aure_M0045_V1
41,GCA_000360045.1,3,13,16,Staphylococcus aureus M0055,Bacteria;Terrabacteria group;Firmicutes,M0055,SAMN00809158,PRJNA88923,Scaffold,2.96038,33.0,,AJBZ01,5.0,2790.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/045/GCA_000360045.1_Stap_aure_M0055_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/045/GCF_000360045.1_Stap_aure_M0055_V1
42,GCA_000360065.1,9,12,21,Staphylococcus aureus M0060,Bacteria;Terrabacteria group;Firmicutes,M0060,SAMN00809159,PRJNA88925,Scaffold,2.92267,33.0,,AJCA01,12.0,2771.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/065/GCA_000360065.1_Stap_aure_M0060_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/065/GCF_000360065.1_Stap_aure_M0060_V1
43,GCA_000360085.1,9,11,20,Staphylococcus aureus M0066,Bacteria;Terrabacteria group;Firmicutes,M0066,SAMN00792133,PRJNA88575,Scaffold,2.91755,32.9,,AIVV01,6.0,2803.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/085/GCA_000360085.1_Stap_aure_M0066_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/085/GCF_000360085.1_Stap_aure_M0066_V1
44,GCA_000360105.1,9,12,21,Staphylococcus aureus M0077,Bacteria;Terrabacteria group;Firmicutes,M0077,SAMN00809160,PRJNA88927,Scaffold,2.93786,33.1,,AJCB01,7.0,2766.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/105/GCA_000360105.1_Stap_aure_M0077_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/105/GCF_000360105.1_Stap_aure_M0077_V1
45,GCA_000360125.1,9,11,20,Staphylococcus aureus M0102,Bacteria;Terrabacteria group;Firmicutes,M0102,SAMN00792134,PRJNA88577,Scaffold,2.83495,32.8,,AIVW01,6.0,2678.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/125/GCA_000360125.1_Stap_aure_M0102_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/125/GCF_000360125.1_Stap_aure_M0102_V1
46,GCA_000360145.1,9,12,21,Staphylococcus aureus M0103,Bacteria;Terrabacteria group;Firmicutes,M0103,SAMN00792135,PRJNA88579,Scaffold,2.93125,33.0,,AIVX01,11.0,2769.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/145/GCA_000360145.1_Stap_aure_M0103_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/145/GCF_000360145.1_Stap_aure_M0103_V1
47,GCA_000360165.1,12,14,26,Staphylococcus aureus M0104,Bacteria;Terrabacteria group;Firmicutes,M0104,SAMN01125832,PRJNA173467,Scaffold,2.93551,33.1,,ANZJ01,10.0,2775.0,2013-04-12T10:16:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/165/GCA_000360165.1_Stap_aure_M0104_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/165/GCF_000360165.1_Stap_aure_M0104_V1
48,GCA_000360185.1,9,12,21,Staphylococcus aureus M0108,Bacteria;Terrabacteria group;Firmicutes,M0108,SAMN00809161,PRJNA88929,Scaffold,2.85532,32.9,,AJCC01,5.0,2707.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/185/GCA_000360185.1_Stap_aure_M0108_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/185/GCF_000360185.1_Stap_aure_M0108_V1
49,GCA_000360205.1,9,12,21,Staphylococcus aureus M0144,Bacteria;Terrabacteria group;Firmicutes,M0144,SAMN00809162,PRJNA88931,Scaffold,2.92773,33.1,,AJCD01,5.0,2772.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/205/GCA_000360205.1_Stap_aure_M0144_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/205/GCF_000360205.1_Stap_aure_M0144_V1
50,GCA_000360225.1,9,12,21,Staphylococcus aureus M0150,Bacteria;Terrabacteria group;Firmicutes,M0150,SAMN00792136,PRJNA88581,Scaffold,2.98385,33.2,,AIVY01,7.0,2815.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/225/GCA_000360225.1_Stap_aure_M0150_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/225/GCF_000360225.1_Stap_aure_M0150_V1
51,GCA_000360245.1,9,11,20,Staphylococcus aureus M0154,Bacteria;Terrabacteria group;Firmicutes,M0154,SAMN00809163,PRJNA88933,Scaffold,2.85808,32.9,,AJCE01,11.0,2719.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/245/GCA_000360245.1_Stap_aure_M0154_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/245/GCF_000360245.1_Stap_aure_M0154_V1
52,GCA_000360265.1,9,12,21,Staphylococcus aureus M0171,Bacteria;Terrabacteria group;Firmicutes,M0171,SAMN01125833,PRJNA173468,Scaffold,2.9418,33.1,,ANZK01,9.0,2781.0,2013-04-12T10:17:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/265/GCA_000360265.1_Stap_aure_M0171_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/265/GCF_000360265.1_Stap_aure_M0171_V1
53,GCA_000360285.1,9,12,21,Staphylococcus aureus M0173,Bacteria;Terrabacteria group;Firmicutes,M0173,SAMN00792138,PRJNA88583,Scaffold,2.88219,32.9,,AIVZ01,4.0,2722.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/285/GCA_000360285.1_Stap_aure_M0173_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/285/GCF_000360285.1_Stap_aure_M0173_V1
54,GCA_000360305.1,9,11,20,Staphylococcus aureus M0177,Bacteria;Terrabacteria group;Firmicutes,M0177,SAMN00809164,PRJNA88935,Scaffold,2.8608,32.9,,AJCF01,6.0,2722.0,2013-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/305/GCA_000360305.1_Stap_aure_M0177_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/305/GCF_000360305.1_Stap_aure_M0177_V1
55,GCA_000360325.1,9,11,20,Staphylococcus aureus M0192,Bacteria;Terrabacteria group;Firmicutes,M0192,SAMN00792139,PRJNA88585,Scaffold,2.83871,32.9,,AIWA01,4.0,2675.0,2013-04-12T10:17:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/360/325/GCA_000360325.1_Stap_aure_M0192_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/360/325/GCF_000360325.1_Stap_aure_M0192_V1
