Assembly, pident, qcovs, Qval,Strain,Size (Mb),WGS,Scaffolds,Genes,Proteins
GCA_000359805.1,2,12,14,HI022,2.84561,AIVL01,3,3004,2847
GCA_000359825.1,0,10,10,HI049B,2.91519,AIVI01,3,3073,2906
GCA_000359845.1,0,10,10,HI049C,2.91533,AIVM01,3,3076,2907
GCA_000359865.1,0,10,10,HI049,2.90084,AIVG01,4,3061,2896
GCA_000359885.1,1,11,12,HI111,2.86286,AIVO01,3,3012,2857
GCA_000359905.1,0,10,10,HI168,2.96814,AIVN01,6,3149,2984
GCA_000359925.1,8,13,21,HIF003_B2N-C,2.75689,AIVK01,2,2870,2722
GCA_000359945.1,11,14,25,M0001,2.88225,AIVQ01,25,3044,2882
GCA_000359965.1,9,11,20,M0006,2.94185,AJBY01,10,3071,2911
GCA_000359985.1,9,11,20,M0029,2.89189,AIVR01,3,3037,2870
GCA_000360005.1,10,11,21,M0035,2.89303,AIVS01,4,3029,2855
GCA_000360025.1,9,12,21,M0045,2.95442,AIVT01,7,3115,2939
GCA_000360045.1,3,13,16,M0055,2.96038,AJBZ01,5,3089,2924
GCA_000360065.1,9,12,21,M0060,2.92267,AJCA01,12,3062,2891
GCA_000360085.1,9,11,20,M0066,2.91755,AIVV01,6,3084,2921
GCA_000360105.1,9,12,21,M0077,2.93786,AJCB01,7,3057,2894
GCA_000360125.1,9,11,20,M0102,2.83495,AIVW01,6,2960,2792
GCA_000360145.1,9,12,21,M0103,2.93125,AIVX01,11,3070,2896
GCA_000360165.1,12,14,26,M0104,2.93551,ANZJ01,10,3057,2891
GCA_000360185.1,9,12,21,M0108,2.85532,AJCC01,5,2987,2816
GCA_000360205.1,9,12,21,M0144,2.92773,AJCD01,5,3052,2888
GCA_000360225.1,9,12,21,M0150,2.98385,AIVY01,7,3113,2936
GCA_000360245.1,9,11,20,M0154,2.85808,AJCE01,11,3003,2840
GCA_000360265.1,9,12,21,M0171,2.9418,ANZK01,9,3076,2901
GCA_000360285.1,9,12,21,M0173,2.88219,AIVZ01,4,3011,2840
GCA_000360305.1,9,11,20,M0177,2.8608,AJCF01,6,2990,2836
GCA_000360325.1,9,11,20,M0192,2.83871,AIWA01,4,2955,2797
GCA_000360345.1,9,12,21,M0197,3,AIWB01,8,3130,2951
GCA_000360365.1,9,13,22,M0200,2.93203,AJCG01,13,3064,2889
GCA_000360385.1,9,11,20,M0210,2.87672,ANZL01,5,2978,2816
GCA_000360405.1,9,11,20,M0212,2.89195,AJCH01,5,3031,2870
GCA_000360425.1,9,11,20,M0213,2.86646,ANZM01,4,2980,2828
GCA_000360445.1,9,11,20,M0216,2.88395,AJCI01,4,2994,2826
GCA_000360465.1,3,13,16,M0221,2.92558,AIWC01,5,3086,2921
GCA_000360485.1,9,11,20,M0235,2.8547,AJCJ01,3,2968,2802
GCA_000360505.1,9,12,21,M0237,2.90231,AIWD01,6,3052,2873
GCA_000360525.1,12,13,25,M0239,2.74729,AIWE01,2,2858,2694
GCA_000360545.1,9,12,21,M0240,2.86164,ANZN01,11,3009,2831
GCA_000360565.1,9,11,20,M0250,2.89569,AJCK01,2,3038,2872
GCA_000360585.1,11,13,24,M0252,2.80001,AIWF01,2,2889,2728
GCA_000360605.1,9,12,21,M0270,2.93518,ANZO01,13,3112,2941
GCA_000360625.1,9,12,21,M0273,2.89168,ANZP01,7,3002,2848
GCA_000360645.1,10,11,21,M0279,2.88082,ANZQ01,4,3009,2851
GCA_000360665.1,9,12,21,M0280,2.93433,AJCM01,12,3094,2931
GCA_000360685.1,9,12,21,M0288,2.93381,ANZR01,8,3064,2898
GCA_000360705.1,9,12,21,M0306,2.89913,AJCN01,2,3033,2869
GCA_000360725.1,3,13,16,M0312,2.9861,ANZS01,5,3158,2988
GCA_000360745.1,9,12,21,M0326,2.92954,AIWG01,11,3058,2882
GCA_000360765.1,9,12,21,M0328,2.91502,AIWH01,4,3027,2866
GCA_000360785.1,9,11,20,M0329,2.93702,AIWI01,10,3077,2888
GCA_000360805.1,9,12,21,M0330,2.85525,AIWJ01,4,2973,2809
GCA_000360825.1,9,12,21,M0334,2.97122,AJCO01,7,3070,2901
GCA_000360845.1,3,13,16,M0340,2.93354,AIWK01,5,3122,2956
GCA_000360865.1,9,11,20,M0347,2.88313,AIWL01,4,3024,2857
GCA_000360885.1,9,12,21,M0350,2.96313,AJCP01,5,3060,2884
GCA_000360905.1,9,11,20,M0351,2.88753,AJCQ01,9,3018,2853
GCA_000360925.1,9,11,20,M0363,2.87958,AJCR01,3,3012,2842
GCA_000360945.1,10,11,21,M0364,2.86513,AIWM01,7,3005,2844
GCA_000360965.1,9,11,20,M0367,2.90987,AJCS01,4,3070,2905
GCA_000360985.1,9,12,21,M0374,2.88462,AJCT01,4,3006,2847
GCA_000361005.1,9,12,21,M0375,2.93467,AJCU01,14,3084,2912
GCA_000361025.1,9,12,21,M0391,2.9013,AIWN01,8,3039,2873
GCA_000361045.1,9,14,23,M0396,2.77558,AJCV01,6,2882,2710
GCA_000361065.1,9,11,20,M0404,2.93265,ANZT01,7,3089,2910
GCA_000361085.1,24,13,37,M0408,2.93284,AIWO01,9,3023,2817
GCA_000361105.1,9,12,21,M0415,2.89931,ANZU01,9,3061,2894
GCA_000361125.1,4,14,18,M0424,2.96017,AJCW01,6,3144,2983
GCA_000361145.1,9,11,20,M0427,2.83873,AIWP01,2,2958,2797
GCA_000361165.1,10,13,23,M0438,2.84156,AJCX01,5,2950,2792
GCA_000361185.1,9,12,21,M0450,2.90515,AIWQ01,7,3011,2835
GCA_000361205.1,11,13,24,M0455,2.75766,ANZV01,3,2836,2677
GCA_000361225.1,10,12,22,M0460,2.88721,ANZW01,7,3018,2846
GCA_000361245.1,9,11,20,M0467,2.84905,AIWR01,6,2982,2820
GCA_000361265.1,3,13,16,M0468,2.99718,AIWS01,5,3156,2988
GCA_000361285.1,10,14,24,M0478,2.87986,AIWT01,9,2997,2832
GCA_000361305.1,9,11,20,M0489,2.97778,AIWU01,16,3134,2969
GCA_000361325.1,9,11,20,M0493,2.87699,ANZX01,4,3010,2848
GCA_000361345.1,10,14,24,M0494,2.80805,AIWV01,2,2908,2754
GCA_000361365.1,9,11,20,M0510,2.97949,AJCZ01,6,3123,2955
GCA_000361385.1,24,12,36,M0513,2.93285,AJDA01,1,3047,2843
GCA_000361405.1,9,11,20,M0528,2.95934,AIXB01,17,3106,2936
GCA_000361425.1,9,12,21,M0529,2.93128,AIYH01,7,3063,2899
GCA_000361445.1,1,11,12,M0531,2.87133,AIXC01,4,3000,2859
GCA_000361465.1,10,12,22,M0536,2.8746,AIXD01,4,2991,2817
GCA_000361485.1,9,12,21,M0539,2.91223,AIXE01,16,3074,2908
GCA_000361505.1,9,12,21,M0547,2.91018,AIXF01,8,3061,2887
GCA_000361525.1,9,11,20,M0562,2.88405,AJDB01,6,2926,2814
GCA_000361545.1,9,12,21,M0565,2.88781,AIXG01,7,3018,2850
GCA_000361565.1,9,11,20,M0571,2.90869,AJDC01,3,3058,2896
GCA_000361585.1,9,11,20,M0580,2.86369,AIXH01,3,2991,2830
GCA_000361605.1,9,11,20,M0584,2.89285,AJDD01,4,3031,2867
GCA_000361625.1,9,13,22,M0586,2.95358,AJDE01,2,3040,2871
GCA_000361645.1,9,12,21,M0602,2.91739,AIXI01,7,3048,2886
GCA_000361665.1,9,11,20,M0622,2.87418,AIXJ01,4,3009,2851
GCA_000361685.1,9,11,20,M0628,2.82844,AIYG01,1,2922,2774
GCA_000361705.1,3,13,16,M0633,2.97868,AJDF01,5,3128,2961
GCA_000361725.1,10,12,22,M0646,2.88518,ANZY01,7,3041,2885
GCA_000361745.1,9,12,21,M0648,2.91011,ANZZ01,12,3052,2884
GCA_000361765.1,9,12,21,M0660,2.9285,AOAA01,15,3084,2910
GCA_000361785.1,9,12,21,M0663,2.86693,AOAB01,15,3016,2850
GCA_000361805.1,9,11,20,M0673,2.86684,AOAC01,10,3011,2854
GCA_000361825.1,9,11,20,M0676,2.87707,AIXK01,6,2992,2819
GCA_000361845.1,9,11,20,M0687,2.95342,AIXL01,9,3086,2933
GCA_000361865.1,9,11,20,M0692,2.93217,AIXM01,10,3078,2911
GCA_000361885.1,9,12,21,M0695,2.87223,AOAD01,19,3007,2811
GCA_000361905.1,9,12,21,M0719,2.97503,AIXN01,10,3113,2939
GCA_000361925.1,9,11,20,M0769,2.86721,AIXO01,13,3029,2862
GCA_000361945.1,9,12,21,M0770,2.91847,AIXP01,12,3079,2903
GCA_000361965.1,9,11,20,M0780,2.86609,AIXQ01,7,3011,2843
GCA_000361985.1,10,11,21,M0792,2.94068,AOAE01,11,3072,2892
GCA_000362005.1,9,12,21,M0799,2.95433,AIXR01,12,3099,2928
GCA_000362025.1,9,12,21,M0822,2.87969,AOAF01,8,3031,2867
GCA_000362045.1,9,12,21,M0823,2.9756,AIXS01,11,3128,2946
GCA_000362065.1,3,13,16,M0831,2.95778,AOAG01,1,3154,2980
GCA_000362085.1,9,11,20,M0844,2.88409,AIXT01,4,3020,2859
GCA_000362105.1,9,11,20,M0871,2.88301,AOAH01,10,2996,2822
GCA_000362125.1,21,14,35,M0877,2.81256,AOAI01,7,2914,2749
GCA_000362165.1,9,11,20,M0892,2.89645,AOAK01,6,3035,2878
GCA_000362185.1,10,13,23,M0900,2.89813,AOAL01,12,3054,2883
GCA_000362205.1,9,12,21,M0927,2.873,AOAM01,12,3019,2858
GCA_000362225.1,9,12,21,M0934,2.93556,AIXU01,5,3057,2888
GCA_000362245.1,9,12,21,M0943,2.8686,AIXV01,6,3003,2842
GCA_000362265.1,10,11,21,M0944,2.8928,AIXW01,6,3032,2876
GCA_000362285.1,24,12,36,M0946,2.97783,AOAN01,10,3101,2896
GCA_000362305.1,9,11,20,M0953,2.84657,AIXX01,6,2980,2815
GCA_000362325.1,9,11,20,M0964,2.88062,AOAO01,8,3026,2870
GCA_000362345.1,10,12,22,M0978,2.84963,AOAP01,8,3012,2858
GCA_000362365.1,9,11,20,M0994,2.89814,AOAQ01,4,3039,2871
GCA_000362385.1,9,12,21,M0998,2.86725,AIXY01,7,3013,2847
GCA_000362405.1,9,11,20,M0999,2.8703,AIXZ01,4,2998,2846
GCA_000362425.1,3,13,16,M1007,2.94719,AIYA01,5,3135,2974
GCA_000362445.1,9,12,21,M1010,2.8828,AIYB01,5,2974,2848
GCA_000362465.1,10,12,22,M1015,2.94275,AIYC01,8,3098,2923
GCA_000362485.1,9,11,20,M1016,2.87335,AIYD01,6,3001,2841
GCA_000362505.1,26,15,41,M1034,2.84166,AOAR01,13,2964,2761
GCA_000362525.1,10,11,21,M1036,2.891,AIYE01,10,3029,2857
GCA_000362545.1,9,11,20,M1037,2.8732,AIYF01,7,3020,2854
GCA_000362565.1,10,12,22,M1044,2.86218,AOAS01,19,2983,2814
GCA_000362585.1,9,12,21,M1061,2.93132,AOAT01,11,3049,2883
GCA_000362605.1,9,11,20,M1062,2.85222,AOAU01,8,2999,2838
GCA_000362625.1,9,13,22,M1063,2.96941,AIYI01,11,3122,2938
GCA_000362645.1,3,13,16,M1064,2.98046,AIYK01,12,3141,2979
GCA_000362665.1,9,11,20,M1068,2.87855,AOAV01,7,3018,2861
GCA_000362685.1,10,11,21,M1076,2.91276,AIYJ01,6,3056,2896
GCA_000362705.1,10,12,22,M1083,2.86619,AOAW01,10,2964,2799
GCA_000362725.1,9,11,20,M1092,2.89171,AIYL01,9,3011,2837
GCA_000362745.1,12,14,26,M1093,2.79053,AIYM01,5,2901,2746
GCA_000362765.1,9,11,20,M1095,2.98126,AIYN01,12,3160,2975
GCA_000362785.1,9,12,21,M1103,2.92694,AIYO01,8,3081,2902
GCA_000362805.1,9,11,20,M1109,2.99076,AOAX01,14,3138,2958
GCA_000362825.1,9,12,21,M1119,2.94419,AIYP01,13,3063,2890
GCA_000362845.1,13,14,27,M1126,2.81832,AOAY01,16,2973,2806
GCA_000362865.1,9,12,21,M1142,2.8461,AOAZ01,3,2952,2788
GCA_000362885.1,9,12,21,M1167,2.86133,AIYQ01,9,3008,2845
GCA_000362905.1,9,12,21,M1170,2.89861,AIYR01,2,3009,2860
GCA_000362925.1,11,11,22,M1188,2.88804,AIYS01,5,3026,2858
GCA_000362945.1,10,11,21,M1198,2.86556,AIYT01,6,3014,2850
GCA_000362965.1,9,12,21,M1199,2.94035,AIYU01,5,3064,2895
GCA_000362985.1,9,11,20,M1215,2.85479,AIYV01,2,2998,2833
GCA_000363005.1,15,14,29,M1216,2.79338,AIYW01,1,2874,2705
GCA_000363025.1,3,13,16,M1223,2.95297,AOBA01,4,3103,2937
GCA_000363045.1,9,11,20,M1224,2.87609,AOBB01,10,3012,2842
GCA_000363065.1,10,11,21,M1229,2.84136,AIYX01,4,2981,2832
GCA_000363085.1,9,13,22,M1244,2.95962,AOBC01,13,3115,2934
GCA_000363105.1,9,11,20,M1248,2.85741,AIYY01,9,2995,2837
GCA_000363125.1,9,11,20,M1253,2.91083,AIYZ01,2,3028,2869
GCA_000363145.1,9,12,21,M1255,2.94416,AIZA01,9,3087,2921
GCA_000363165.1,24,13,37,M1256,2.80312,AOBD01,2,2891,2709
GCA_000363185.1,10,11,21,M1257,2.84368,AIZB01,5,2974,2810
GCA_000363205.1,10,11,21,M1275,2.88603,AOBE01,6,3025,2855
GCA_000363225.1,10,11,21,M1277,2.86132,AIZC01,5,3000,2829
GCA_000363245.1,9,12,21,M1286,2.85746,AOBF01,15,2985,2825
GCA_000363265.1,9,12,21,M1291,2.869,AIZD01,10,2985,2820
GCA_000363285.1,9,11,20,M1309,2.89707,AOBG01,9,3052,2882
GCA_000363305.1,23,15,38,M1311,2.83176,AIZE01,7,2940,2753
GCA_000363325.1,10,11,21,M1320,2.84215,AIZF01,4,2981,2825
GCA_000363345.1,9,12,21,M1321,2.95175,AIZG01,14,3109,2952
GCA_000363365.1,9,11,20,M1322,2.85299,AIZH01,4,2976,2822
GCA_000363385.1,9,11,20,M1359,2.89258,AIZI01,3,2992,2822
GCA_000363405.1,9,11,20,M1367,2.90645,AIZJ01,3,3043,2879
GCA_000363425.1,9,11,20,M1373,2.91303,AIZK01,8,3045,2879
GCA_000363445.1,10,12,22,M1374,2.85045,AOBH01,10,2997,2836
GCA_000363465.1,9,11,20,M1394,2.83833,AIZL01,2,2978,2818
GCA_000363485.1,9,12,21,M1405,2.87323,AOBI01,15,3027,2860
GCA_000363505.1,9,12,21,M1450,2.86706,AIZM01,11,3021,2862
GCA_000363525.1,9,11,20,M1451,2.90037,AIZN01,7,3033,2863
GCA_000363545.1,3,14,17,M1462,2.93796,AIZO01,4,3086,2928
GCA_000363565.1,10,11,21,M1463,2.87505,AIZP01,11,3016,2831
GCA_000363585.1,9,11,20,M1481,2.86809,AJBO01,9,3019,2853
GCA_000363605.1,12,12,24,M1510,2.92939,AOBJ01,6,3081,2914
GCA_000363625.1,9,11,20,M1520,2.84618,AJBP01,2,2943,2790
GCA_000363645.1,10,11,21,M1521,2.91817,AJBQ01,6,3054,2887
GCA_000363665.1,9,11,20,M1531,2.83565,AJBR01,3,2954,2786
GCA_000363685.1,9,11,20,M1533,2.83985,AJBS01,7,2970,2809
GCA_000363705.1,9,11,20,M1544,2.91789,AJBT01,11,3070,2895
GCA_000363725.1,9,11,20,M1556,2.89527,AJBU01,7,3026,2859
GCA_000363745.1,9,11,20,M1563,2.86398,AJBV01,7,2980,2804
GCA_000363765.1,10,13,23,M1565,2.87273,AJBW01,5,2992,2824
GCA_000363785.1,9,11,20,M1578,2.91782,AJBX01,5,3050,2887
GCA_000363805.1,10,11,21,B147830,2.89442,AIWZ01,9,3024,2878
GCA_000363825.1,10,11,21,B40723,2.85866,AIWX01,11,3025,2856
GCA_000363845.1,11,11,22,B40950,2.84156,AIWY01,5,2992,2822
GCA_000363865.1,10,11,21,B53639,2.86393,AIWW01,6,3006,2835
GCA_000364005.1,9,12,21,M0075,2.8715,AQFY01,5,3008,2847
GCA_000364025.1,9,12,21,M0294,2.91424,AQFZ01,10,3052,2885
GCA_000364045.1,9,11,20,M1060,2.90736,AQGA01,5,3034,2872
GCA_000364065.1,9,11,20,M1078,2.88224,AQGB01,6,2987,2815
GCA_000364085.1,10,11,21,M1193,2.87341,AQGC01,3,3005,2848
GCA_000364105.1,15,13,28,M1228,2.83602,AQGD01,3,2908,2726
GCA_000364125.1,12,12,24,M1407,2.83541,AQGE01,3,2959,2795
GCA_000364145.1,10,12,22,M1466,2.96736,AQGF01,20,3151,2980
GCA_000439835.1,24,16,40,LCT-SA67,2.79212,ATKO01,5,2852,2687
GCA_000496095.1,6,14,20,PSP1996,2.94551,ANHU01,27,3050,2871
GCA_000507705.1,12,12,24,KPL1845,2.78352,AZJA01,12,2878,2686
GCA_000507725.1,9,13,22,KPL1828,2.71176,AZJB01,3,2779,2619
GCA_000525105.1,10,12,22,DAR948,2.83088,JBSS01,14,2949,2770
GCA_000525125.1,11,14,25,DAR1199,2.87451,JBST01,15,3022,2842
GCA_000525145.1,10,12,22,DAR1280,2.90756,JBSU01,8,3056,2898
GCA_000525165.1,9,11,20,DAR1366,2.88096,JBSV01,12,3029,2864
GCA_000525185.1,9,11,20,DAR1503,2.90039,JBSW01,11,3058,2891
GCA_000525205.1,12,15,27,DAR3170,2.73043,JBSX01,7,2824,2674
GCA_000525225.1,13,13,26,DAR3172,2.80206,JBSY01,14,2911,2755
GCA_000525245.1,6,10,16,DAR3165,2.86324,JBSZ01,22,2969,2836
GCA_000525265.1,9,11,20,DAR5898,2.95405,JBTA01,12,3095,2916
GCA_000525285.1,9,10,19,DAR5897,2.90015,JBTB01,7,3036,2857
GCA_000525305.1,11,11,22,DAR5896,2.86704,JBTC01,7,3022,2848
GCA_000525325.1,9,10,19,DAR5895,2.93863,JBTD01,21,3088,2896
GCA_000525345.1,9,11,20,DAR5894,2.98589,JBTE01,18,3148,2953
GCA_000525365.1,11,10,21,DAR5893,2.92971,JBTF01,8,3090,2906
GCA_000525385.1,10,10,20,DAR5892,2.94816,JBTG01,13,3101,2915
GCA_000525405.1,10,10,20,DAR5891,2.91649,JBTH01,15,3060,2858
GCA_000525425.1,9,10,19,DAR5882,2.93635,JBTI01,15,3078,2898
GCA_000525445.1,11,11,22,DAR5883,2.95522,JBTJ01,10,3130,2935
GCA_000525465.1,11,14,25,DAR5876,2.95858,JBTK01,16,3134,2903
GCA_000525485.1,9,11,20,DAR5866,2.97447,JBTL01,26,3151,2949
GCA_000525505.1,10,12,22,DAR5860,2.91104,JBTM01,16,3035,2847
GCA_000525525.1,9,11,20,DAR5844,3.00268,JBTN01,10,3202,3007
GCA_000525545.1,9,13,22,DAR5842,2.98311,JBTO01,18,3140,2940
GCA_000525565.1,9,11,20,DAR5810,2.94452,JBTP01,17,3086,2909
GCA_000527715.1,9,11,20,M0627,2.85455,JBEI01,26,2991,2819
GCA_000527735.1,3,13,16,M0630,2.88172,JBEH01,76,3047,2921
GCA_000527755.1,9,12,21,M0631,2.88808,JBEG01,61,3064,2892
GCA_000527795.1,9,11,20,M0632,2.84755,JBEF01,34,3001,2835
GCA_000527815.1,9,12,21,M0634,2.89208,JBEE01,37,3049,2872
GCA_000527835.1,3,13,16,M0636,2.90778,JBED01,66,3095,2950
GCA_000527855.1,9,11,20,M0637,2.92019,JBEC01,54,3086,2913
GCA_000527875.1,9,12,21,M0638,2.88357,JBEB01,53,3060,2888
GCA_000527895.1,9,12,21,M0640,2.83651,JBEA01,43,2986,2813
GCA_000527915.1,9,12,21,M0643,2.86654,JBDY01,40,3028,2860
GCA_000527935.1,3,14,17,M0645,2.90401,JBDW01,74,3093,2944
GCA_000527955.1,9,12,21,M0647,2.8974,JBDV01,19,3044,2881
GCA_000527975.1,9,11,20,M0649,2.84123,JBDU01,43,2975,2811
GCA_000527995.1,9,12,21,M0652,2.89918,JBDS01,66,3057,2887
GCA_000528015.1,9,13,22,M0653,2.89788,JBDR01,60,3060,2897
GCA_000528035.1,9,11,20,M0654,2.84038,JBDQ01,46,2989,2813
GCA_000528055.1,9,12,21,M0656,2.90174,JBDO01,69,3076,2897
GCA_000528075.1,9,14,23,M0657,2.92053,JBDN01,69,3090,2906
GCA_000528095.1,3,13,16,M0658,2.91377,JBDM01,69,3091,2962
GCA_000528115.1,9,12,21,M0659,2.84914,JBDL01,36,2991,2818
GCA_000528135.1,9,11,20,M0664,2.88903,JBDJ01,64,3061,2880
GCA_000528155.1,9,11,20,M0666,2.89699,JBDI01,73,3075,2877
GCA_000528175.1,3,13,16,M0668,2.88625,JBDG01,73,3063,2935
GCA_000528195.1,10,13,23,M0669,2.81903,JBDF01,35,2960,2797
GCA_000528215.1,10,13,23,M0670,2.80991,JBDE01,27,2950,2789
GCA_000528235.1,3,13,16,M0671,2.90791,JBDD01,75,3099,2942
GCA_000528255.1,9,12,21,M0672,2.88868,JBDC01,56,3081,2909
GCA_000528275.1,9,13,22,M0674,2.88895,JBDB01,58,3072,2901
GCA_000528295.1,9,11,20,M0677,2.8623,JBDA01,32,3021,2856
GCA_000528315.1,10,12,22,M0678,2.85944,JBCZ01,52,3006,2822
GCA_000528335.1,9,13,22,M0679,2.92892,JBCY01,70,3120,2937
GCA_000528355.1,9,11,20,M0680,2.90533,JBCX01,58,3071,2887
GCA_000528375.1,9,11,20,M0681,3.01717,JBCW01,78,3229,3044
GCA_000528395.1,9,11,20,M0682,2.85485,JBCV01,39,3013,2841
GCA_000528415.1,9,12,21,M0683,2.889,JBCU01,64,3052,2888
GCA_000528435.1,24,17,41,M0684,2.73133,JBCT01,35,2822,2662
GCA_000528455.1,9,15,24,M0685,2.89248,JBCS01,42,3040,2868
GCA_000528475.1,9,11,20,M0686,2.83199,JBCR01,33,2964,2827
GCA_000528495.1,9,11,20,M0689,2.86172,JBCQ01,47,3018,2853
GCA_000528515.1,23,16,39,M0690,2.77411,JBCP01,52,2857,2691
GCA_000528535.1,9,13,22,M0693,2.88166,JBCN01,57,3059,2883
GCA_000528555.1,9,12,21,M0697,2.90864,JBCL01,59,3082,2901
GCA_000528575.1,9,14,23,M0698,2.88964,JBCK01,69,3061,2873
GCA_000528595.1,10,11,21,M0699,2.85314,JBCJ01,44,3003,2826
GCA_000528615.1,10,12,22,M0700,2.8245,JBCI01,32,2957,2820
GCA_000528635.1,9,12,21,M0701,2.87743,JBCH01,47,3035,2857
GCA_000528655.1,9,11,20,M0703,2.88459,JBCG01,46,3044,2876
GCA_000528675.1,9,11,20,M0706,2.93499,JBCE01,75,3102,2903
GCA_000528695.1,9,12,21,M0707,2.89631,JBCD01,67,3088,2912
GCA_000528715.1,9,14,23,M0708,2.89352,JBCC01,55,3058,2885
GCA_000528735.1,3,14,17,M0709,2.87711,JBCB01,68,3054,2920
GCA_000528755.1,9,11,20,M0711,2.92078,JBBZ01,64,3105,2927
GCA_000528775.1,9,12,21,M0713,2.89739,JBBY01,72,3073,2902
GCA_000528795.1,23,16,39,M0715,2.80347,JBBX01,43,2918,2720
GCA_000528815.1,9,12,21,M0716,2.86879,JBBW01,43,3031,2862
GCA_000528835.1,9,11,20,M0718,2.89284,JBBV01,48,3040,2866
GCA_000528855.1,9,11,20,M0720,2.86559,JBBU01,37,3035,2863
GCA_000528875.1,9,11,20,M0721,2.86073,JBBT01,47,3029,2859
GCA_000528895.1,9,12,21,M0722,2.90787,JBBS01,53,3089,2906
GCA_000528915.1,9,12,21,M0724,2.88213,JBBQ01,58,3075,2896
GCA_000528935.1,9,11,20,M0727,2.89091,JBBO01,50,3052,2867
GCA_000528955.1,3,14,17,M0729,2.90988,JBBM01,70,3089,2953
GCA_000528975.1,3,14,17,M0730,2.88449,JBBL01,73,3071,2924
GCA_000528995.1,10,12,22,M0731,2.8903,JBBK01,56,3039,2883
GCA_000529015.1,9,12,21,M0733,2.89326,JBBI01,67,3085,2902
GCA_000529035.1,9,11,20,M0734,2.87705,JBBH01,56,3029,2850
GCA_000529055.1,9,13,22,M0736,2.88572,JBBG01,57,3064,2884
GCA_000529075.1,9,13,22,M0737,2.88022,JBBF01,57,3065,2892
GCA_000529095.1,9,12,21,M0739,2.83823,JBBE01,28,2973,2808
GCA_000529115.1,9,12,21,M0742,2.8841,JBBC01,69,3063,2888
GCA_000529135.1,9,12,21,M0625,2.88684,JBBB01,30,3065,2898
GCA_000529155.1,9,13,22,M0635,2.89429,JBBA01,19,3028,2863
GCA_000529175.1,9,12,21,M0650,2.92411,JBAZ01,25,3093,2927
GCA_000529195.1,9,12,21,M0675,2.88313,JBAX01,29,3055,2889
GCA_000529255.1,10,12,22,M0688,2.88554,JBAW01,14,3029,2867
GCA_000529315.1,9,11,20,M0702,2.88079,JBAV01,12,3020,2861
GCA_000529375.1,9,12,21,M0714,2.93612,JBAU01,19,3065,2890
GCA_000529415.1,9,12,21,M0726,2.89283,JBAT01,12,3020,2859
GCA_000529455.1,9,11,20,M0735,2.89774,JBAS01,12,3027,2858
GCA_000529475.1,9,11,20,M0498,2.83746,JBAR01,17,2978,2812
GCA_000529515.1,3,13,16,M0511,2.96323,JBAQ01,11,3131,2958
GCA_000529575.1,3,13,16,M0524,2.9463,JBAP01,18,3120,2974
GCA_000529635.1,9,12,21,M0538,2.91339,JBAO01,21,3068,2891
GCA_000529695.1,9,11,20,M0551,2.95207,JBAN01,37,3101,2923
GCA_000529735.1,10,12,22,M0561,2.91241,JBAM01,15,3042,2876
GCA_000529795.1,9,11,20,M0570,2.90624,JBAL01,21,3040,2875
