,Assembly,pident,qcovs,Qval
70,NZ_CP009554.1,0.28,0.161,0.441
71,NZ_CP009681.1,0.054,0.118,0.172
72,NZ_CP009828.1,0.156,0.144,0.3
73,NZ_CP010295.1,0.0,0.118,0.118
74,NZ_CP010296.1,0.0,0.118,0.118
75,NZ_CP010297.1,0.0,0.118,0.118
76,NZ_CP010298.1,0.0,0.118,0.118
77,NZ_CP010299.1,0.0,0.118,0.118
78,NZ_CP010300.1,0.0,0.118,0.118
79,NZ_CP010402.1,0.086,0.129,0.215
80,NZ_CP010526.1,0.098,0.141,0.239
81,NZ_CP010890.1,0.118,0.14,0.258
82,NZ_CP010998.1,0.054,0.118,0.172
83,NZ_CP011147.1,0.098,0.12,0.217
84,NZ_CP011526.1,0.055,0.143,0.198
85,NZ_CP011528.1,0.14,0.151,0.29
86,NZ_CP011685.1,0.098,0.12,0.217
87,NZ_CP012011.1,0.054,0.129,0.183
88,NZ_CP012012.1,0.054,0.129,0.183
89,NZ_CP012013.1,0.054,0.151,0.204
90,NZ_CP012015.1,0.054,0.151,0.204
91,NZ_CP012018.1,0.054,0.129,0.183
92,NZ_CP012119.2,0.0,0.108,0.108
93,NZ_CP012120.2,0.0,0.108,0.108
94,NZ_CP012409.1,0.129,0.183,0.312
95,NZ_CP012593.1,0.089,0.122,0.211
96,NZ_CP012692.1,0.12,0.152,0.272
97,NZ_CP012756.1,0.237,0.14,0.376
98,NZ_CP012970.1,0.098,0.141,0.239
99,NZ_CP012972.1,0.098,0.141,0.239
100,NZ_CP012974.1,0.118,0.129,0.247
101,NZ_CP012976.1,0.118,0.129,0.247
102,NZ_CP012978.1,0.108,0.14,0.247
103,NZ_CP012979.1,0.108,0.14,0.247
104,NZ_CP013132.1,0.12,0.141,0.261
105,NZ_CP013137.1,0.12,0.152,0.272
106,NZ_CP013182.1,0.118,0.129,0.247
107,NZ_CP013218.1,0.25,0.163,0.413
108,NZ_CP013231.1,0.0,0.118,0.118
109,NZ_CP013616.1,0.25,0.163,0.413
110,NZ_CP013619.1,0.25,0.152,0.402
111,NZ_CP013621.1,0.25,0.152,0.402
112,NZ_CP013953.1,0.12,0.152,0.272
113,NZ_CP013955.1,0.12,0.141,0.261
114,NZ_CP013957.1,0.065,0.151,0.215
115,NZ_CP014064.2,0.12,0.152,0.272
116,NZ_CP014392.1,0.0,0.108,0.108
117,NZ_CP014397.1,0.0,0.108,0.108
118,NZ_CP014402.1,0.0,0.108,0.108
119,NZ_CP014407.1,0.0,0.118,0.118
120,NZ_CP014409.1,0.0,0.108,0.108
121,NZ_CP014412.1,0.0,0.108,0.108
122,NZ_CP014415.1,0.0,0.118,0.118
123,NZ_CP014420.1,0.0,0.108,0.108
124,NZ_CP014423.1,0.0,0.108,0.108
125,NZ_CP014426.1,0.0,0.108,0.108
126,NZ_CP014429.1,0.0,0.108,0.108
127,NZ_CP014432.1,0.0,0.108,0.108
128,NZ_CP014435.1,0.0,0.108,0.108
129,NZ_CP014438.1,0.0,0.108,0.108
130,NZ_CP014441.1,0.0,0.108,0.108
131,NZ_CP014444.1,0.0,0.118,0.118
132,NZ_CP014791.1,0.258,0.151,0.409
133,NZ_CP015173.1,0.129,0.151,0.28
134,NZ_CP015447.1,0.065,0.129,0.194
135,NZ_CP015645.1,0.098,0.13,0.228
136,NZ_CP015646.1,0.13,0.141,0.272
137,NZ_CP015817.1,0.097,0.118,0.215
138,NZ_CP016398.1,0.054,0.129,0.183
139,NZ_CP016856.1,0.054,0.118,0.172
140,NZ_CP016858.1,0.0,0.108,0.108
141,NZ_CP016861.1,0.0,0.108,0.108
142,NZ_CP016863.1,0.0,0.108,0.108
143,NZ_CP017090.1,0.099,0.121,0.22
144,NZ_CP017091.1,0.25,0.163,0.413
145,NZ_CP017094.1,0.011,0.12,0.13
146,NZ_CP017115.1,0.118,0.14,0.258
147,NZ_CP017677.1,0.129,0.151,0.28
148,NZ_CP017679.1,0.13,0.13,0.261
149,NZ_CP017680.1,0.118,0.161,0.28
150,NZ_CP017682.1,0.108,0.129,0.237
151,NZ_CP017684.1,0.269,0.14,0.409
152,NZ_CP017685.1,0.261,0.174,0.435
153,NZ_CP018205.1,0.065,0.14,0.204
154,NZ_CP018629.1,0.065,0.129,0.194
155,NZ_CP018766.1,0.098,0.12,0.217
156,NZ_CP018768.1,0.098,0.12,0.217
157,NZ_CP019117.1,0.283,0.163,0.446
158,NZ_CP019563.1,0.087,0.109,0.196
159,NZ_CP019574.1,0.086,0.151,0.237
160,NZ_CP019590.1,0.0,0.108,0.108
161,NZ_CP019591.1,0.228,0.152,0.38
162,NZ_CP019592.1,0.237,0.151,0.387
163,NZ_CP019593.1,0.226,0.14,0.366
164,NZ_CP019594.1,0.215,0.151,0.366
165,NZ_CP019595.1,0.25,0.163,0.413
166,NZ_CP019945.1,0.154,0.143,0.297
167,NZ_CP020019.1,0.25,0.163,0.413
168,NZ_CP020020.1,0.12,0.141,0.261
169,NZ_CP020354.1,0.11,0.132,0.242
170,NZ_CP020467.1,0.269,0.151,0.419
171,NZ_CP020544.1,0.098,0.13,0.228
172,NZ_CP020553.1,0.098,0.13,0.228
173,NZ_CP020619.1,0.0,0.108,0.108
174,NZ_CP020656.1,0.141,0.152,0.293
175,NZ_CP020713.1,0.141,0.185,0.326
176,NZ_CP020714.1,0.141,0.174,0.315
177,NZ_CP020741.1,0.109,0.13,0.239
178,NZ_CP021105.1,0.108,0.129,0.237
179,NZ_CP021905.1,0.261,0.163,0.424
180,NZ_CP021907.1,0.261,0.163,0.424
181,NZ_CP022290.1,0.054,0.14,0.194
182,NZ_CP022291.1,0.183,0.129,0.312
183,NZ_CP023390.1,0.054,0.129,0.183
184,NZ_CP023391.1,0.054,0.129,0.183
185,NZ_CP023500.1,0.054,0.151,0.204
186,NZ_CP023560.1,0.065,0.118,0.183
187,NZ_CP024998.1,0.226,0.183,0.409
188,NZ_CP025395.1,0.13,0.163,0.293
189,NZ_CP025495.1,0.0,0.108,0.108
190,NZ_CP026063.1,0.118,0.151,0.269
191,NZ_CP026064.1,0.151,0.118,0.269
192,NZ_CP026066.1,0.226,0.129,0.355
193,NZ_CP026067.1,0.14,0.161,0.301
194,NZ_CP026068.1,0.076,0.141,0.217
195,NZ_CP026069.1,0.129,0.172,0.301
196,NZ_CP026070.1,0.065,0.14,0.204
197,NZ_CP026071.1,0.269,0.14,0.409
198,NZ_CP026072.1,0.032,0.14,0.172
199,NZ_CP026073.1,0.075,0.129,0.204
200,NZ_CP026074.1,0.098,0.109,0.207
201,NZ_CP026076.1,0.032,0.14,0.172
202,NZ_CP026077.1,0.076,0.152,0.228
203,NZ_CP026079.1,0.108,0.129,0.237
204,NZ_CP026080.1,0.066,0.143,0.209
205,NZ_CP026953.1,0.098,0.109,0.207
206,NZ_CP026957.1,0.075,0.129,0.204
207,NZ_CP026958.1,0.129,0.172,0.301
208,NZ_CP026960.1,0.076,0.152,0.228
209,NZ_CP026961.1,0.065,0.129,0.194
210,NZ_CP026962.1,0.076,0.163,0.239
211,NZ_CP026964.1,0.118,0.14,0.258
212,NZ_CP026968.1,0.098,0.109,0.207
213,NZ_CP027101.1,0.0,0.108,0.108
214,NZ_CP027476.1,0.0,0.108,0.108
215,NZ_CP028163.1,0.247,0.161,0.409
216,NZ_CP028165.1,0.11,0.132,0.242
217,NZ_CP028189.1,0.141,0.152,0.293
218,NZ_CP028190.1,0.348,0.196,0.543
219,NZ_CP029030.1,0.011,0.12,0.13
220,NZ_CP029031.1,0.0,0.108,0.108
221,NZ_CP029032.1,0.0,0.108,0.108
222,NZ_CP029080.1,0.237,0.151,0.387
223,NZ_CP029082.1,0.098,0.12,0.217
224,NZ_CP029084.1,0.226,0.151,0.376
225,NZ_CP029086.1,0.118,0.129,0.247
226,NZ_CP029087.1,0.098,0.12,0.217
227,NZ_LN626917.1,0.29,0.161,0.452
228,NZ_LN831036.1,0.086,0.129,0.215
229,NZ_LN854556.1,0.226,0.172,0.398
230,NZ_LT009690.1,0.086,0.108,0.194
231,NZ_LT598688.1,0.054,0.129,0.183
232,NZ_LT615218.1,0.129,0.151,0.28
233,NZ_LT671859.1,0.032,0.118,0.151
