Assembly, pident, qcovs, Qval,Strain,Size (Mb),WGS,Scaffolds,Genes,Proteins
GCA_000336275.1,9,14,23,333,2.76132,ALWF01,54,2865,2697
GCA_000336295.1,9,14,23,VH60,2.76993,ALWG01,44,2850,2705
GCA_000336315.1,9,14,23,3989,2.76365,ALWH01,43,2840,2688
GCA_000336335.1,9,14,23,120,2.77648,ALWE01,56,2855,2712
GCA_000336515.1,10,14,24,KT/314250,2.84605,AOCP01,69,2986,2833
GCA_000336595.1,9,14,23,KT/Y21,2.76347,AOCQ01,70,2841,2700
GCA_000350425.2,15,14,29,KLT6,2.70018,APFH01,29,2761,2583
GCA_000359665.1,0,10,10,HI010B,2.88954,AIVJ01,23,3055,2901
GCA_000364465.1,12,13,25,LVP5,2.75766,AOFW01,29,2895,2745
GCA_000364485.1,13,14,27,VH221,2.74852,AOFX01,111,2891,2731
GCA_000364505.1,10,15,25,3957,2.80817,AOFU01,43,2920,2776
GCA_000364525.1,9,14,23,LVP2,2.86079,AOFV01,73,3009,2849
GCA_000390205.1,10,11,21,06BA18369,2.86576,ARXY01,59,3025,2869
GCA_000401435.1,8,14,22,91751,2.82451,AHZH01,132,2987,2837
GCA_000401455.1,22,16,38,122051,2.74539,AHZJ01,140,2822,2678
GCA_000401475.1,7,12,19,MRGR3,3.00333,AHZL01,112,3159,3053
GCA_000401575.1,8,13,21,103564,2.75637,AHZI01,142,2863,2721
GCA_000401595.1,24,19,43,112808A,2.77292,AHZK01,78,2856,2716
GCA_000403115.1,11,13,24,CBD-635,2.81868,ASHS01,86,2925,2805
GCA_000403685.1,10,15,25,S1800,2.73839,CAWB01,401,2804,2689
GCA_000409145.1,10,14,24,H29,2.84431,ANHW01,118,2956,2801
GCA_000409165.1,12,15,27,PB32,2.80852,ANIB01,80,2908,2745
GCA_000421995.1,9,12,21,SA_ST125_MupR,2.85113,ASTH01,42,2970,2828
GCA_000442355.1,10,11,21,SA16,2.96156,ASZO01,74,3111,2930
GCA_000443125.1,21,14,35,S100,2.74274,AUPV01,43,2855,2682
GCA_000443245.1,22,14,36,S130,2.78361,AUPT01,42,2903,2725
GCA_000443265.1,23,15,38,S123,2.7008,AUPU01,49,2774,2602
GCA_000443285.1,22,14,36,S94,2.68514,AUPW01,54,2775,2603
GCA_000455725.2,23,15,38,S1,2.8109,AUPS01,59,2922,2741
GCA_000463035.1,9,17,26,CO-08,2.78733,AJKD01,55,2910,2701
GCA_000516935.1,9,13,22,ST772-MRSA-V,2.74142,AZBT01,70,2821,2706
GCA_000527355.1,9,11,20,M0662,2.83379,JBAY01,14,2961,2805
GCA_000527375.1,9,11,20,M0741,2.95126,JBBD01,73,3134,2932
GCA_000527395.1,10,13,23,M0732,2.8144,JBBJ01,33,2941,2767
GCA_000527415.1,9,11,20,M0728,2.90435,JBBN01,68,3076,2896
GCA_000527435.1,9,11,20,M0725,2.89848,JBBP01,62,3047,2886
GCA_000527455.1,9,11,20,M0723,2.87374,JBBR01,66,3058,2874
GCA_000527475.1,9,12,21,M0710,2.88668,JBCA01,53,3025,2856
GCA_000527495.1,9,12,21,M0704,2.86805,JBCF01,65,3026,2879
GCA_000527515.1,9,13,22,M0696,2.8889,JBCM01,66,3055,2876
GCA_000527535.1,10,12,22,M0691,2.82404,JBCO01,49,2991,2823
GCA_000527555.1,9,11,20,M0626,2.84385,JBEJ01,33,2972,2819
GCA_000527575.1,9,12,21,M0642,2.88561,JBDZ01,57,3053,2871
GCA_000527595.1,9,13,22,M0644,2.88047,JBDX01,50,3037,2862
GCA_000527615.1,9,11,20,M0651,2.90172,JBDT01,61,3077,2895
GCA_000527635.1,10,12,22,M0655,2.82884,JBDP01,28,2961,2810
GCA_000527655.1,9,11,20,M0661,2.85772,JBDK01,40,3006,2845
GCA_000527675.1,9,11,20,M0667,2.89076,JBDH01,66,3073,2892
GCA_000530215.1,21,19,40,S0460,2.83345,CAVH01,167,2990,2737
GCA_000530855.1,8,14,22,S1475,2.74881,CBWW01,262,2813,2697
GCA_000533215.1,9,12,21,M0018,2.92957,JBTR01,69,3126,2937
GCA_000533235.1,9,13,22,M0039,2.91432,JBTS01,83,3101,2906
GCA_000533255.1,9,14,23,M0050,2.89798,JBTT01,79,3060,2881
GCA_000533275.1,9,11,20,M0056,2.83483,JBTU01,44,2977,2804
GCA_000533295.1,9,11,20,M0062,2.88681,JBTV01,46,3049,2869
GCA_000533315.1,9,12,21,M0067,2.91471,JBTW01,38,3071,2904
GCA_000533335.1,9,12,21,M0068,2.83604,JBTX01,9,2958,2800
GCA_000533355.1,9,12,21,M0073,2.93555,JBTY01,35,3113,2937
GCA_000533375.1,11,12,23,M0114,2.8082,JBTZ01,30,2934,2769
GCA_000533395.1,9,12,21,M0126,2.86803,JBUA01,17,2993,2833
GCA_000533415.1,9,12,21,M0133,2.89996,JBUB01,33,3054,2886
GCA_000533435.1,9,12,21,M0158,2.89097,JBUC01,51,3052,2873
GCA_000533455.1,9,12,21,M0180,2.87748,JBUD01,46,3025,2858
GCA_000533475.1,9,12,21,M0248,2.90818,JBUE01,65,3076,2875
GCA_000533495.1,10,13,23,M0259,2.87081,JBUF01,48,3031,2857
GCA_000533515.1,10,12,22,M0267,2.81851,JBUG01,28,2953,2781
GCA_000533535.1,11,14,25,M0269,2.75512,JBUH01,17,2823,2687
GCA_000533555.1,9,11,20,M0277,2.85755,JBUI01,17,2998,2837
GCA_000533575.1,9,12,21,M0291,2.93288,JBUJ01,29,3107,2935
GCA_000533595.1,11,14,25,M0298,2.85337,JBUK01,66,2986,2825
GCA_000533615.1,9,11,20,M0304,2.86436,JBUL01,15,3001,2835
GCA_000533635.1,9,12,21,M0316,2.83901,JBUM01,46,2982,2805
GCA_000533655.1,9,12,21,M0324,2.87649,JBUN01,49,3041,2862
GCA_000533675.1,9,11,20,M0354,2.8825,JBUO01,45,3038,2866
GCA_000533695.1,9,11,20,M0358,2.85718,JBUP01,40,3013,2850
GCA_000533715.1,9,12,21,M0366,2.89174,JBUQ01,58,3058,2878
GCA_000533735.1,9,11,20,M0370,2.89902,JBUR01,24,3048,2893
GCA_000533755.1,9,12,21,M0389,2.87865,JBUS01,46,3037,2872
GCA_000533775.1,9,12,21,M0394,2.8509,JBUT01,47,3007,2826
GCA_000533795.1,9,11,20,M0397,2.86621,JBUU01,8,3002,2847
GCA_000533815.1,9,12,21,M0410,2.89967,JBUV01,45,3055,2872
GCA_000533835.1,9,12,21,M0429,2.85858,JBUW01,70,3033,2848
GCA_000533855.1,9,12,21,M0434,2.87915,JBUX01,50,3046,2860
GCA_000533875.1,9,12,21,M0444,2.91576,JBUY01,74,3110,2930
GCA_000533895.1,9,11,20,M0459,2.85256,JBUZ01,40,3006,2839
GCA_000533915.1,9,11,20,M0488,2.86149,JBVA01,47,3030,2856
GCA_000533935.1,9,11,20,M0495,2.85681,JBVB01,32,3003,2842
GCA_000533955.1,9,11,20,M0499,2.86961,JBVC01,56,3031,2849
GCA_000533975.1,9,13,22,M0502,2.89992,JBVD01,67,3073,2882
GCA_000533995.1,9,11,20,M0535,2.93438,JBVE01,31,3073,2902
GCA_000534015.1,9,11,20,M0560,2.89471,JBVF01,80,3083,2896
GCA_000534835.1,21,13,34,301-188,2.76248,JASK01,40,2835,2673
GCA_000534855.1,20,14,34,300-169,2.80801,JASL01,37,2907,2744
GCA_000534955.1,9,13,22,M0743,2.88413,JDCI01,69,3055,2881
GCA_000534975.1,9,11,20,M0832,2.94459,JDCJ01,35,3097,2919
GCA_000534995.1,9,11,20,M0846,2.85653,JDCK01,58,3025,2854
GCA_000535015.1,9,12,21,M0848,2.85845,JDCL01,36,3010,2839
GCA_000535035.1,9,12,21,M0854,2.91099,JDCM01,60,3093,2903
GCA_000535055.1,9,11,20,M0857,2.83494,JDCN01,37,2967,2813
GCA_000535075.1,9,11,20,M0867,2.87325,JDCO01,29,3013,2840
GCA_000535095.1,9,11,20,M0870,2.85055,JDCP01,48,3010,2842
GCA_000535115.1,9,11,20,M0873,2.86218,JDCQ01,43,3024,2854
GCA_000535135.1,9,11,20,M0882,2.85889,JDCR01,16,2992,2826
GCA_000535155.1,9,11,20,M0886,2.87874,JDCS01,15,3007,2847
GCA_000535175.1,9,11,20,M0888,2.88981,JDCT01,40,3057,2890
GCA_000535195.1,9,11,20,M0904,2.94353,JDCU01,31,3097,2925
GCA_000535215.1,9,11,20,M0906,2.86338,JDCV01,40,3008,2852
GCA_000535235.1,9,11,20,M0921,2.86196,JDCW01,16,2999,2835
GCA_000535255.1,9,11,20,M0923,2.85626,JDCX01,52,3026,2847
GCA_000535275.1,9,12,21,M0939,2.89227,JDCY01,53,3062,2892
GCA_000535295.1,9,11,20,M0949,2.87479,JDCZ01,65,3065,2893
GCA_000535315.1,9,11,20,M0959,2.88777,JDDA01,67,3054,2876
GCA_000535335.1,9,11,20,M0980,2.88616,JDDB01,11,3022,2860
GCA_000535355.1,10,13,23,M0981,2.82605,JDDC01,58,2967,2800
GCA_000535375.1,10,12,22,M0991,2.81649,JDDD01,38,2950,2786
GCA_000535395.1,9,12,21,M0992,2.9051,JDDE01,38,3081,2901
GCA_000535415.1,9,11,20,M0996,2.88047,JDDF01,12,3016,2854
GCA_000535435.1,10,12,22,M1008,2.81794,JDDG01,37,2980,2815
GCA_000535455.1,9,13,22,M1018,2.87686,JDDH01,65,3052,2849
GCA_000535475.1,9,11,20,M1024,2.88496,JDDI01,79,3079,2881
GCA_000535495.1,9,11,20,M1028,2.9323,JDDJ01,65,3073,2898
GCA_000535515.1,9,12,21,M1029,2.9321,JDDK01,33,3099,2928
GCA_000535535.1,9,11,20,M1039,2.86748,JDDL01,40,3026,2872
GCA_000535555.1,9,12,21,M1047,2.91254,JDDM01,51,3102,2933
GCA_000535575.1,9,12,21,M1051,2.9297,JDDN01,84,3114,2916
GCA_000535595.1,9,12,21,M1055,2.87028,JDDO01,58,3030,2867
GCA_000535615.1,9,12,21,M1057,2.83632,JDDP01,41,2984,2813
GCA_000535635.1,9,11,20,M1065,2.85117,JDDQ01,54,3027,2844
GCA_000535655.1,9,11,20,M1071,2.8666,JDDR01,55,3020,2844
GCA_000535675.1,9,11,20,M1073,2.84991,JDDS01,65,3001,2819
GCA_000535695.1,10,15,25,M1075,2.78798,JDDT01,40,2900,2728
GCA_000535715.1,9,12,21,M1097,2.90703,JDDU01,58,3084,2891
GCA_000535735.1,9,12,21,M1099,2.90989,JDDV01,66,3091,2892
GCA_000535755.1,9,12,21,M1100,2.83114,JDDW01,33,2983,2816
GCA_000535775.1,10,11,21,M1561,2.86187,JDDX01,40,3018,2857
GCA_000535795.1,9,11,20,M1579,2.86087,JDDY01,44,2993,2838
GCA_000535815.1,10,12,22,M0755,2.81616,JDDZ01,25,2962,2804
GCA_000535835.1,9,11,20,M0765,2.83081,JDEA01,38,2989,2821
GCA_000535855.1,9,11,20,M1368,2.88135,JDEB01,49,3044,2864
GCA_000535875.1,9,11,20,M1379,2.8589,JDEC01,15,2995,2826
GCA_000535895.1,9,11,20,M1384,2.86292,JDED01,44,3021,2862
GCA_000535915.1,9,11,20,M1385,2.85816,JDEE01,15,2999,2834
GCA_000535935.1,9,11,20,M1388,2.87487,JDEF01,19,3010,2845
GCA_000535955.1,9,11,20,M1404,2.88997,JDEG01,66,3076,2882
GCA_000535975.1,9,11,20,M1418,2.88461,JDEH01,13,3019,2865
GCA_000535995.1,9,12,21,M1468,2.90054,JDEI01,24,3038,2871
GCA_000536015.1,9,12,21,M1473,2.85715,JDEJ01,22,2992,2827
GCA_000536035.1,9,11,20,M1339,2.85014,JDEK01,61,3016,2860
GCA_000536055.1,9,11,20,M1343,2.89483,JDEL01,28,3038,2870
GCA_000536075.1,9,12,21,M1357,2.85491,JDEM01,59,2989,2803
GCA_000536095.1,9,12,21,M1358,2.89529,JDEN01,27,3051,2878
GCA_000536115.1,9,11,20,M1362,2.8556,JDEO01,54,3056,2871
GCA_000536135.1,9,13,22,M1488,2.89982,JDEP01,58,3032,2869
GCA_000536155.1,11,14,25,M1494,2.84297,JDEQ01,45,2985,2811
GCA_000536175.1,9,12,21,M1503,2.95951,JDER01,138,3140,2909
GCA_000536195.1,10,12,22,M1509,2.82485,JDES01,45,2987,2824
GCA_000536215.1,9,11,20,M1522,2.86211,JDET01,75,3024,2846
GCA_000536235.1,10,13,23,M1527,2.85009,JDEU01,32,2986,2811
GCA_000536255.1,9,11,20,M1536,2.839,JDEV01,18,2963,2796
GCA_000536275.1,9,13,22,M1539,2.83379,JDEW01,90,3006,2813
GCA_000536295.1,9,12,21,M1543,2.84048,JDEX01,48,2993,2808
GCA_000536315.1,9,11,20,M1547,2.83748,JDEY01,50,2991,2825
GCA_000536335.1,9,11,20,M1548,2.83004,JDEZ01,49,2992,2813
GCA_000536355.1,10,11,21,M1549,2.89736,JDFA01,52,3037,2884
GCA_000536375.1,9,11,20,M1554,2.86321,JDFB01,13,3004,2839
GCA_000536395.1,10,11,21,M1555,2.91013,JDFC01,67,3053,2888
GCA_000536415.1,9,12,21,M1558,2.88879,JDFD01,56,3035,2886
GCA_000536435.1,9,11,20,M0805,2.88056,JDFE01,46,3039,2868
GCA_000536455.1,9,11,20,KINW6046,2.89892,JBEM01,21,3061,2887
GCA_000536475.1,0,10,10,GGMC6057,2.89635,JBEQ01,9,3048,2888
GCA_000536495.1,9,12,21,SCLE6100,2.90142,JBET01,25,3057,2887
GCA_000536515.1,0,11,11,PLAC6058,2.89483,JBEU01,11,3045,2888
GCA_000536535.1,0,11,11,WAMC6081,2.93188,JBEW01,14,3114,2946
GCA_000536555.1,0,11,11,UCIM6146,2.96544,JBEZ01,14,3151,2986
GCA_000536575.1,0,10,10,KINW6062,2.8954,JBFE01,12,3051,2883
GCA_000536595.1,0,10,10,KINW6061,2.90394,JBFF01,16,3060,2893
GCA_000536615.1,0,10,10,WMCA6123,2.91591,JBFM01,17,3073,2909
GCA_000536635.1,0,10,10,FVRH6138,2.87463,JBFO01,6,3027,2873
GCA_000536655.1,0,10,10,WMCA6100,2.96794,JBFR01,17,3171,3006
GCA_000536675.1,9,12,21,COAS6117,2.91146,JBFS01,21,3041,2870
GCA_000536695.1,9,12,21,OCMM6125,2.93816,JBGE01,32,3075,2893
GCA_000536715.1,9,11,20,LAMC6117,2.92879,JBGI01,21,3084,2915
GCA_000536735.1,9,11,20,OCMM6121,2.94545,JBGL01,23,3104,2939
GCA_000536755.1,0,10,10,WMCA6091,2.89915,JBGM01,11,3057,2895
GCA_000536775.1,0,10,10,UCIM6134,2.87896,JBGO01,13,3028,2873
GCA_000536795.1,0,10,10,WAMC6108,2.89861,JBGQ01,9,3057,2888
GCA_000536815.1,1,11,12,UCIM6126,2.93599,JBGU01,10,3122,2961
GCA_000536835.1,9,12,21,OCMM6110,2.88608,JBGW01,18,3049,2873
GCA_000536855.1,0,10,10,WMCA6084,2.9421,JBGZ01,15,3121,2956
GCA_000536875.1,0,10,10,COAS6095,2.89519,JBHF01,10,3050,2887
GCA_000536895.1,0,10,10,WMCA6180,2.87075,JBHG01,9,3026,2862
GCA_000536915.1,0,10,10,FVRH6076,2.97907,JBHL01,22,3150,2983
GCA_000536935.1,0,10,10,LAMC6094,2.93801,JBIB01,14,3110,2948
GCA_000536955.1,0,10,10,UCIM6085,2.89926,JBIW01,16,3062,2895
GCA_000536975.1,0,10,10,SJOS6139,2.90196,JBJF01,9,3059,2897
GCA_000536995.1,2,10,12,KINB6009,2.93275,JBJK01,21,3093,2933
GCA_000537015.1,0,10,10,LAMC6066,2.89997,JBJQ01,12,3059,2903
GCA_000537035.1,9,11,20,SJUD6118,2.92506,JBJV01,30,3076,2906
GCA_000537055.1,1,11,12,SJUD6114,2.86161,JBJX01,15,2995,2834
GCA_000537075.1,0,10,10,OCMM6065,2.94436,JBKF01,11,3128,2963
GCA_000537095.1,0,10,10,HSOU6002,2.88835,JBKG01,13,3036,2874
GCA_000537115.1,9,11,20,SJUD6104,2.92338,JBKV01,18,3080,2905
GCA_000537135.1,2,10,12,SMMC6087,2.86513,JBLA01,9,3023,2862
GCA_000537155.1,9,12,21,SJOS6106,2.94463,JBLC01,17,3106,2938
GCA_000537175.1,0,10,10,UCIM6057,2.90058,JBPA01,10,3061,2893
GCA_000537195.1,9,11,20,PLAC6024,2.89732,JBPD01,22,3045,2885
GCA_000537215.1,9,11,20,HOAG6042,2.91597,JBPF01,37,3071,2890
GCA_000537235.1,0,10,10,SJUD6022,2.90055,JBPS01,13,3057,2892
GCA_000537255.1,9,11,20,HOAG6034,2.89518,JBPX01,20,3047,2884
GCA_000537275.1,0,10,10,AGEN6010,2.90686,JBQD01,15,3070,2897
GCA_000537295.1,0,10,10,SCLE6005,2.93592,JBQF01,20,3106,2942
GCA_000537315.1,9,11,20,AGEN6009,2.9062,JBQV01,20,3064,2899
GCA_000537335.1,10,11,21,WAMC6003,2.92247,JBQW01,39,3070,2909
GCA_000537355.1,9,11,20,COAS6004,2.89386,JBQY01,17,3038,2872
GCA_000537375.1,0,10,10,COAS6001,2.89501,JBRA01,9,3051,2891
GCA_000537395.1,10,11,21,SMMC6030,2.91266,JBRE01,48,3069,2883
GCA_000537415.1,9,11,20,LAMC0016,2.92329,JBRF01,14,3071,2899
GCA_000537435.1,9,11,20,FVRH6001,2.92786,JBSM01,25,3091,2925
GCA_000537455.1,10,13,23,AMMC6073,2.82797,JBLJ01,23,2937,2783
GCA_000537475.1,9,11,20,OCMM6047,2.90698,JBLP01,19,3056,2887
GCA_000537495.1,0,10,10,SJOS6098,2.9805,JBLV01,17,3192,3021
GCA_000537515.1,0,10,10,COAS6039,2.89925,JBLW01,11,3057,2897
GCA_000537535.1,0,10,10,CHOC6045,2.93254,JBMG01,14,3117,2957
GCA_000537555.1,10,11,21,PLAC6019,2.88342,JBMH01,21,3013,2832
GCA_000537575.1,0,10,10,TUSH6001,2.90089,JBMK01,10,3060,2894
GCA_000537595.1,0,10,10,UCIM6019,2.9317,JBMM01,8,3101,2942
GCA_000537615.1,8,15,23,UCIM6015,2.99284,JBMO01,40,3161,2980
GCA_000537635.1,0,10,10,MISS6007,2.89882,JBMQ01,14,3058,2892
GCA_000537655.1,0,10,10,HOAG6059,2.89766,JBMR01,14,3053,2896
GCA_000537675.1,9,11,20,SMMC6051,2.89284,JBMW01,12,3030,2867
GCA_000537695.1,0,10,10,SCOA6012,2.92732,JBMX01,27,3114,2952
GCA_000537715.1,0,10,10,LAMC0037,2.90451,JBNB01,12,3059,2897
GCA_000537735.1,9,11,20,MISS6020,2.84234,JBNI01,27,2970,2800
GCA_000537755.1,0,10,10,SJUD6056,2.94302,JBNJ01,10,3120,2962
GCA_000537775.1,0,10,10,SJUD6064,2.8877,JBNL01,7,3042,2875
GCA_000537795.1,0,10,10,SMMC6007,2.89799,JBNS01,10,3056,2896
GCA_000537815.1,0,10,10,COAS6025,2.89856,JBNU01,9,3056,2898
GCA_000537835.1,11,12,23,AMMC6050,2.84427,JBOA01,22,2931,2780
GCA_000537855.1,0,10,10,SJOS6061,2.9405,JBOD01,11,3119,2955
GCA_000537875.1,0,10,10,GGMC6008,2.94008,JBOF01,13,3121,2951
GCA_000537895.1,0,10,10,SJOS6051,2.90251,JBOI01,13,3057,2895
GCA_000564895.1,7,11,18,HST-105,2.80058,AZTH01,35,2951,2786
GCA_000564915.1,8,12,20,HST-107,2.80355,AZTI01,31,2917,2752
GCA_000564935.1,7,11,18,JS046,2.82581,AZTG01,30,2940,2772
